v1	V(v_1)	V(v_2)	V(vout)
-1.000000000000000e+000	1.500000e+000	2.500000e+000	7.116070e-002
-9.990000000000000e-001	1.501000e+000	2.500000e+000	7.129817e-002
-9.980000000000000e-001	1.502000e+000	2.500000e+000	7.142765e-002
-9.970000000000000e-001	1.503000e+000	2.500000e+000	7.156079e-002
-9.960000000000000e-001	1.504000e+000	2.500000e+000	7.169475e-002
-9.950000000000000e-001	1.505000e+000	2.500000e+000	7.182892e-002
-9.940000000000000e-001	1.506000e+000	2.500000e+000	7.196327e-002
-9.930000000000000e-001	1.507000e+000	2.500000e+000	7.209787e-002
-9.920000000000000e-001	1.508000e+000	2.500000e+000	7.223270e-002
-9.910000000000000e-001	1.509000e+000	2.500000e+000	7.236777e-002
-9.900000000000000e-001	1.510000e+000	2.500000e+000	7.250308e-002
-9.890000000000000e-001	1.511000e+000	2.500000e+000	7.263863e-002
-9.880000000000000e-001	1.512000e+000	2.500000e+000	7.277441e-002
-9.870000000000000e-001	1.513000e+000	2.500000e+000	7.291042e-002
-9.860000000000000e-001	1.514000e+000	2.500000e+000	7.304667e-002
-9.850000000000000e-001	1.515000e+000	2.500000e+000	7.318315e-002
-9.840000000000000e-001	1.516000e+000	2.500000e+000	7.331986e-002
-9.830000000000000e-001	1.517000e+000	2.500000e+000	7.345680e-002
-9.820000000000000e-001	1.518000e+000	2.500000e+000	7.359397e-002
-9.810000000000000e-001	1.519000e+000	2.500000e+000	7.373138e-002
-9.800000000000000e-001	1.520000e+000	2.500000e+000	7.386901e-002
-9.790000000000000e-001	1.521000e+000	2.500000e+000	7.400687e-002
-9.780000000000000e-001	1.522000e+000	2.500000e+000	7.414496e-002
-9.770000000000000e-001	1.523000e+000	2.500000e+000	7.428327e-002
-9.760000000000000e-001	1.524000e+000	2.500000e+000	7.442182e-002
-9.750000000000000e-001	1.525000e+000	2.500000e+000	7.456058e-002
-9.740000000000000e-001	1.526000e+000	2.500000e+000	7.469957e-002
-9.730000000000000e-001	1.527000e+000	2.500000e+000	7.483879e-002
-9.720000000000000e-001	1.528000e+000	2.500000e+000	7.497822e-002
-9.710000000000000e-001	1.529000e+000	2.500000e+000	7.511789e-002
-9.700000000000000e-001	1.530000e+000	2.500000e+000	7.525777e-002
-9.690000000000000e-001	1.531000e+000	2.500000e+000	7.539787e-002
-9.680000000000000e-001	1.532000e+000	2.500000e+000	7.553820e-002
-9.670000000000000e-001	1.533000e+000	2.500000e+000	7.567874e-002
-9.660000000000000e-001	1.534000e+000	2.500000e+000	7.581950e-002
-9.650000000000000e-001	1.535000e+000	2.500000e+000	7.596047e-002
-9.640000000000000e-001	1.536000e+000	2.500000e+000	7.610167e-002
-9.630000000000000e-001	1.537000e+000	2.500000e+000	7.624308e-002
-9.620000000000000e-001	1.538000e+000	2.500000e+000	7.638471e-002
-9.610000000000000e-001	1.539000e+000	2.500000e+000	7.652655e-002
-9.600000000000000e-001	1.540000e+000	2.500000e+000	7.666861e-002
-9.590000000000000e-001	1.541000e+000	2.500000e+000	7.681088e-002
-9.580000000000000e-001	1.542000e+000	2.500000e+000	7.695336e-002
-9.570000000000000e-001	1.543000e+000	2.500000e+000	7.709605e-002
-9.560000000000000e-001	1.544000e+000	2.500000e+000	7.723895e-002
-9.550000000000000e-001	1.545000e+000	2.500000e+000	7.738207e-002
-9.540000000000000e-001	1.546000e+000	2.500000e+000	7.752539e-002
-9.530000000000000e-001	1.547000e+000	2.500000e+000	7.766892e-002
-9.520000000000000e-001	1.548000e+000	2.500000e+000	7.781266e-002
-9.510000000000000e-001	1.549000e+000	2.500000e+000	7.795661e-002
-9.500000000000000e-001	1.550000e+000	2.500000e+000	7.810076e-002
-9.490000000000000e-001	1.551000e+000	2.500000e+000	7.824511e-002
-9.480000000000000e-001	1.552000e+000	2.500000e+000	7.838967e-002
