v1	V(v_1)	V(v_2)	V(vout)	I(V3)
-2.500000000000000e+000	0.000000e+000	2.500000e+000	2.500000e+000	-1.081840e-004
-2.490000000000000e+000	1.000000e-002	2.500000e+000	2.500000e+000	-1.080931e-004
-2.480000000000000e+000	2.000000e-002	2.500000e+000	2.500000e+000	-1.080010e-004
-2.470000000000001e+000	3.000000e-002	2.500000e+000	2.500000e+000	-1.079082e-004
-2.460000000000001e+000	4.000000e-002	2.500000e+000	2.500000e+000	-1.078146e-004
-2.450000000000001e+000	5.000000e-002	2.500000e+000	2.500000e+000	-1.077202e-004
-2.440000000000001e+000	6.000000e-002	2.500000e+000	2.500000e+000	-1.076249e-004
-2.430000000000002e+000	7.000000e-002	2.500000e+000	2.500000e+000	-1.075287e-004
-2.420000000000002e+000	8.000000e-002	2.500000e+000	2.500000e+000	-1.074317e-004
-2.410000000000002e+000	9.000000e-002	2.500000e+000	2.500000e+000	-1.073338e-004
-2.400000000000002e+000	1.000000e-001	2.500000e+000	2.500000e+000	-1.072350e-004
-2.390000000000002e+000	1.100000e-001	2.500000e+000	2.500000e+000	-1.071353e-004
-2.380000000000003e+000	1.200000e-001	2.500000e+000	2.500000e+000	-1.070348e-004
-2.370000000000003e+000	1.300000e-001	2.500000e+000	2.500000e+000	-1.069333e-004
-2.360000000000003e+000	1.400000e-001	2.500000e+000	2.500000e+000	-1.068309e-004
-2.350000000000003e+000	1.500000e-001	2.500000e+000	2.500000e+000	-1.067275e-004
-2.340000000000003e+000	1.600000e-001	2.500000e+000	2.500000e+000	-1.066233e-004
-2.330000000000004e+000	1.700000e-001	2.500000e+000	2.500000e+000	-1.065180e-004
-2.320000000000004e+000	1.800000e-001	2.500000e+000	2.500000e+000	-1.064119e-004
-2.310000000000004e+000	1.900000e-001	2.500000e+000	2.500000e+000	-1.063047e-004
-2.300000000000004e+000	2.000000e-001	2.500000e+000	2.500000e+000	-1.061966e-004
-2.290000000000005e+000	2.100000e-001	2.500000e+000	2.500000e+000	-1.060875e-004
-2.280000000000005e+000	2.200000e-001	2.500000e+000	2.500000e+000	-1.059775e-004
-2.270000000000005e+000	2.300000e-001	2.500000e+000	2.500000e+000	-1.058664e-004
-2.260000000000005e+000	2.400000e-001	2.500000e+000	2.500000e+000	-1.057543e-004
-2.250000000000005e+000	2.500000e-001	2.500000e+000	2.500000e+000	-1.056412e-004
-2.240000000000006e+000	2.600000e-001	2.500000e+000	2.500000e+000	-1.055270e-004
-2.230000000000006e+000	2.700000e-001	2.500000e+000	2.500000e+000	-1.054118e-004
-2.220000000000006e+000	2.800000e-001	2.500000e+000	2.500000e+000	-1.052956e-004
-2.210000000000006e+000	2.900000e-001	2.500000e+000	2.500000e+000	-1.051783e-004
-2.200000000000006e+000	3.000000e-001	2.500000e+000	2.500000e+000	-1.050599e-004
-2.190000000000007e+000	3.100000e-001	2.500000e+000	2.500000e+000	-1.049405e-004
-2.180000000000007e+000	3.200000e-001	2.500000e+000	2.500000e+000	-1.048200e-004
-2.170000000000007e+000	3.300000e-001	2.500000e+000	2.500000e+000	-1.046983e-004
-2.160000000000007e+000	3.400000e-001	2.500000e+000	2.500000e+000	-1.045756e-004
-2.150000000000008e+000	3.500000e-001	2.500000e+000	2.500000e+000	-1.044517e-004
-2.140000000000008e+000	3.600000e-001	2.500000e+000	2.500000e+000	-1.043267e-004
-2.130000000000008e+000	3.700000e-001	2.500000e+000	2.500000e+000	-1.042005e-004
-2.120000000000008e+000	3.800000e-001	2.500000e+000	2.500000e+000	-1.040732e-004
-2.110000000000008e+000	3.900000e-001	2.500000e+000	2.500000e+000	-1.039447e-004
-2.100000000000009e+000	4.000000e-001	2.500000e+000	2.500000e+000	-1.038151e-004
-2.090000000000009e+000	4.100000e-001	2.500000e+000	2.500000e+000	-1.036842e-004
-2.080000000000009e+000	4.200000e-001	2.500000e+000	2.500000e+000	-1.035522e-004
-2.070000000000009e+000	4.300000e-001	2.500000e+000	2.500000e+000	-1.034189e-004
-2.060000000000009e+000	4.400000e-001	2.500000e+000	2.500000e+000	-1.032844e-004
-2.050000000000010e+000	4.500000e-001	2.500000e+000	2.500000e+000	-1.031487e-004
-2.040000000000010e+000	4.600000e-001	2.500000e+000	2.500000e+000	-1.030117e-004
-2.030000000000010e+000	4.700000e-001	2.500000e+000	2.500000e+000	-1.028735e-004
-2.020000000000010e+000	4.800000e-001	2.500000e+000	2.500000e+000	-1.027340e-004
-2.010000000000010e+000	4.900000e-001	2.500000e+000	2.500000e+000	-1.025932e-004
-2.000000000000011e+000	5.000000e-001	2.500000e+000	2.500000e+000	-1.024511e-004
-1.990000000000011e+000	5.100000e-001	2.500000e+000	2.500000e+000	-1.023077e-004
-1.980000000000011e+000	5.200000e-001	2.500000e+000	2.500000e+000	-1.021629e-004
-1.970000000000011e+000	5.300000e-001	2.500000e+000	2.500000e+000	-1.020169e-004
-1.960000000000011e+000	5.400000e-001	2.500000e+000	2.500000e+000	-1.018695e-004
-1.950000000000011e+000	5.500000e-001	2.500000e+000	2.500000e+000	-1.017207e-004
-1.940000000000011e+000	5.600000e-001	2.500000e+000	2.500000e+000	-1.015705e-004
-1.930000000000011e+000	5.700000e-001	2.500000e+000	2.500000e+000	-1.014190e-004
-1.920000000000011e+000	5.800000e-001	2.500000e+000	2.500000e+000	-1.012661e-004
-1.910000000000011e+000	5.900000e-001	2.500000e+000	2.500000e+000	-1.011117e-004
-1.900000000000011e+000	6.000000e-001	2.500000e+000	2.500000e+000	-1.009559e-004
-1.890000000000011e+000	6.100000e-001	2.500000e+000	2.500000e+000	-1.007987e-004
-1.880000000000011e+000	6.200000e-001	2.500000e+000	2.500000e+000	-1.006400e-004
-1.870000000000011e+000	6.300000e-001	2.500000e+000	2.500000e+000	-1.004798e-004
-1.860000000000011e+000	6.400000e-001	2.500000e+000	2.500000e+000	-1.003182e-004
-1.850000000000011e+000	6.500000e-001	2.500000e+000	2.500000e+000	-1.001551e-004
-1.840000000000011e+000	6.600000e-001	2.500000e+000	2.500000e+000	-9.999044e-005
-1.830000000000011e+000	6.700000e-001	2.500000e+000	2.500000e+000	-9.982427e-005
-1.820000000000011e+000	6.800000e-001	2.500000e+000	2.500000e+000	-9.965656e-005
-1.810000000000011e+000	6.900000e-001	2.500000e+000	2.500000e+000	-9.948730e-005
-1.800000000000011e+000	7.000000e-001	2.500000e+000	2.500000e+000	-9.931646e-005
-1.790000000000011e+000	7.100000e-001	2.500000e+000	2.500000e+000	-9.914405e-005
-1.780000000000011e+000	7.200000e-001	2.500000e+000	2.500000e+000	-9.897005e-005
-1.770000000000011e+000	7.300000e-001	2.500000e+000	2.500000e+000	-9.879443e-005
-1.760000000000010e+000	7.400000e-001	2.500000e+000	2.500000e+000	-9.861719e-005
-1.750000000000010e+000	7.500000e-001	2.500000e+000	2.500000e+000	-9.843831e-005
-1.740000000000010e+000	7.600000e-001	2.500000e+000	2.500000e+000	-9.825777e-005
-1.730000000000010e+000	7.700000e-001	2.500000e+000	2.500000e+000	-9.807557e-005
-1.720000000000010e+000	7.800000e-001	2.500000e+000	2.500000e+000	-9.789169e-005
-1.710000000000010e+000	7.900000e-001	2.500000e+000	2.500000e+000	-9.770611e-005
-1.700000000000010e+000	8.000000e-001	2.500000e+000	2.500000e+000	-9.751883e-005
-1.690000000000010e+000	8.100000e-001	2.500000e+000	2.500000e+000	-9.732982e-005
-1.680000000000010e+000	8.200000e-001	2.500000e+000	2.500000e+000	-9.713908e-005
-1.670000000000010e+000	8.300000e-001	2.500000e+000	2.500000e+000	-9.694660e-005
-1.660000000000010e+000	8.400000e-001	2.500000e+000	2.500000e+000	-9.675235e-005
-1.650000000000010e+000	8.500000e-001	2.500000e+000	2.500000e+000	-9.655633e-005
-1.640000000000010e+000	8.600000e-001	2.500000e+000	2.500000e+000	-9.635853e-005
-1.630000000000010e+000	8.700000e-001	2.500000e+000	2.500000e+000	-9.615892e-005
-1.620000000000010e+000	8.800000e-001	2.500000e+000	2.500000e+000	-9.595752e-005
-1.610000000000010e+000	8.900000e-001	2.500000e+000	2.500000e+000	-9.575430e-005
-1.600000000000010e+000	9.000000e-001	2.500000e+000	2.500000e+000	-9.554925e-005
-1.590000000000010e+000	9.100000e-001	2.500000e+000	2.500000e+000	-9.534237e-005
-1.580000000000010e+000	9.200000e-001	2.500000e+000	2.500000e+000	-9.513365e-005
-1.570000000000010e+000	9.300000e-001	2.500000e+000	2.500000e+000	-9.492307e-005
-1.560000000000010e+000	9.400000e-001	2.500000e+000	2.500000e+000	-9.471065e-005
-1.550000000000010e+000	9.500000e-001	2.500000e+000	2.500000e+000	-9.449636e-005
-1.540000000000010e+000	9.600000e-001	2.500000e+000	2.500000e+000	-9.428021e-005
-1.530000000000010e+000	9.700000e-001	2.500000e+000	2.500000e+000	-9.406220e-005
-1.520000000000010e+000	9.800000e-001	2.500000e+000	2.500000e+000	-9.384233e-005
-1.510000000000010e+000	9.900000e-001	2.500000e+000	2.500000e+000	-9.362059e-005
-1.500000000000010e+000	1.000000e+000	2.500000e+000	2.500000e+000	-9.339699e-005
-1.490000000000010e+000	1.010000e+000	2.500000e+000	2.500000e+000	-9.317153e-005
-1.480000000000010e+000	1.020000e+000	2.500000e+000	2.500000e+000	-9.294422e-005
-1.470000000000010e+000	1.030000e+000	2.500000e+000	2.500000e+000	-9.271506e-005
-1.460000000000010e+000	1.040000e+000	2.500000e+000	2.500000e+000	-9.248406e-005
-1.450000000000010e+000	1.050000e+000	2.500000e+000	2.500000e+000	-9.225122e-005
-1.440000000000010e+000	1.060000e+000	2.500000e+000	2.500000e+000	-9.201653e-005
-1.430000000000010e+000	1.070000e+000	2.500000e+000	2.500000e+000	-9.178001e-005
-1.420000000000010e+000	1.080000e+000	2.500000e+000	2.500000e+000	-9.154165e-005
-1.410000000000010e+000	1.090000e+000	2.500000e+000	2.500000e+000	-9.130142e-005
-1.400000000000010e+000	1.100000e+000	2.500000e+000	2.500000e+000	-9.105930e-005
-1.390000000000010e+000	1.110000e+000	2.500000e+000	2.500000e+000	-9.081524e-005
-1.380000000000010e+000	1.120000e+000	2.500000e+000	2.500000e+000	-9.056917e-005
-1.370000000000010e+000	1.130000e+000	2.500000e+000	2.500000e+000	-9.032100e-005
-1.360000000000010e+000	1.140000e+000	2.500000e+000	2.500000e+000	-9.007059e-005
-1.350000000000010e+000	1.150000e+000	2.500000e+000	2.500000e+000	-8.981774e-005
-1.340000000000010e+000	1.160000e+000	2.500000e+000	2.500000e+000	-8.956221e-005
-1.330000000000010e+000	1.170000e+000	2.500000e+000	2.500000e+000	-8.930371e-005
-1.320000000000010e+000	1.180000e+000	2.500000e+000	2.500000e+000	-8.904182e-005
-1.310000000000010e+000	1.190000e+000	2.500000e+000	2.500000e+000	-8.877606e-005
-1.300000000000010e+000	1.200000e+000	2.500000e+000	2.500000e+000	-8.850586e-005
-1.290000000000010e+000	1.210000e+000	2.500000e+000	2.500000e+000	-8.823057e-005
-1.280000000000010e+000	1.220000e+000	2.500000e+000	2.500000e+000	-8.794943e-005
-1.270000000000010e+000	1.230000e+000	2.500000e+000	2.500000e+000	-8.766167e-005
-1.260000000000010e+000	1.240000e+000	2.500000e+000	2.500000e+000	-8.736644e-005
-1.250000000000010e+000	1.250000e+000	2.500000e+000	2.500000e+000	-8.706291e-005
-1.240000000000010e+000	1.260000e+000	2.500000e+000	2.500000e+000	-8.675029e-005
-1.230000000000010e+000	1.270000e+000	2.500000e+000	2.500000e+000	-8.642782e-005
-1.220000000000010e+000	1.280000e+000	2.500000e+000	2.500000e+000	-8.609483e-005
-1.210000000000010e+000	1.290000e+000	2.500000e+000	2.500000e+000	-8.575076e-005
-1.200000000000010e+000	1.300000e+000	2.500000e+000	2.500000e+000	-8.539510e-005
