v3	V(v_1)	V(vout)	I(V3)
0.000000000000000e+000	2.500000e+000	0.000000e+000	1.366679e-005
1.000000000000000e-002	2.500000e+000	1.000000e-002	1.302674e-005
2.000000000000000e-002	2.500000e+000	2.000000e-002	1.240518e-005
3.000000000000000e-002	2.500000e+000	3.000000e-002	1.180203e-005
4.000000000000000e-002	2.500000e+000	4.000000e-002	1.121721e-005
5.000000000000000e-002	2.500000e+000	5.000000e-002	1.065063e-005
6.000000000000001e-002	2.500000e+000	6.000000e-002	1.010223e-005
7.000000000000001e-002	2.500000e+000	7.000000e-002	9.571909e-006
8.000000000000000e-002	2.500000e+000	8.000000e-002	9.059588e-006
9.000000000000000e-002	2.500000e+000	9.000000e-002	8.565176e-006
9.999999999999999e-002	2.500000e+000	1.000000e-001	8.088583e-006
1.100000000000000e-001	2.500000e+000	1.100000e-001	7.629713e-006
1.200000000000000e-001	2.500000e+000	1.200000e-001	7.188468e-006
1.300000000000000e-001	2.500000e+000	1.300000e-001	6.764746e-006
1.400000000000000e-001	2.500000e+000	1.400000e-001	6.358440e-006
1.500000000000000e-001	2.500000e+000	1.500000e-001	5.969440e-006
1.600000000000000e-001	2.500000e+000	1.600000e-001	5.597629e-006
1.700000000000000e-001	2.500000e+000	1.700000e-001	5.242885e-006
1.800000000000000e-001	2.500000e+000	1.800000e-001	4.905077e-006
1.900000000000000e-001	2.500000e+000	1.900000e-001	4.584072e-006
2.000000000000000e-001	2.500000e+000	2.000000e-001	4.279721e-006
2.100000000000001e-001	2.500000e+000	2.100000e-001	3.991873e-006
2.200000000000001e-001	2.500000e+000	2.200000e-001	3.720359e-006
2.300000000000001e-001	2.500000e+000	2.300000e-001	3.465002e-006
2.400000000000001e-001	2.500000e+000	2.400000e-001	3.225608e-006
2.500000000000001e-001	2.500000e+000	2.500000e-001	3.001964e-006
2.600000000000001e-001	2.500000e+000	2.600000e-001	2.793839e-006
2.700000000000001e-001	2.500000e+000	2.700000e-001	2.600975e-006
2.800000000000001e-001	2.500000e+000	2.800000e-001	2.423083e-006
2.900000000000001e-001	2.500000e+000	2.900000e-001	2.259836e-006
3.000000000000001e-001	2.500000e+000	3.000000e-001	2.110857e-006
3.100000000000001e-001	2.500000e+000	3.100000e-001	1.975707e-006
3.200000000000001e-001	2.500000e+000	3.200000e-001	1.853867e-006
3.300000000000001e-001	2.500000e+000	3.300000e-001	1.744720e-006
3.400000000000001e-001	2.500000e+000	3.400000e-001	1.647537e-006
3.500000000000001e-001	2.500000e+000	3.500000e-001	1.561500e-006
3.600000000000002e-001	2.500000e+000	3.600000e-001	1.485774e-006
3.700000000000002e-001	2.500000e+000	3.700000e-001	1.419624e-006
3.800000000000002e-001	2.500000e+000	3.800000e-001	1.362491e-006
3.900000000000002e-001	2.500000e+000	3.900000e-001	1.313941e-006
4.000000000000002e-001	2.500000e+000	4.000000e-001	1.273534e-006
4.100000000000002e-001	2.500000e+000	4.100000e-001	1.240690e-006
4.200000000000002e-001	2.500000e+000	4.200000e-001	1.214603e-006
4.300000000000002e-001	2.500000e+000	4.300000e-001	1.194211e-006
4.400000000000002e-001	2.500000e+000	4.400000e-001	1.178286e-006
4.500000000000002e-001	2.500000e+000	4.500000e-001	1.165633e-006
4.600000000000002e-001	2.500000e+000	4.600000e-001	1.155265e-006
4.700000000000003e-001	2.500000e+000	4.700000e-001	1.146456e-006
4.800000000000003e-001	2.500000e+000	4.800000e-001	1.138715e-006
4.900000000000003e-001	2.500000e+000	4.900000e-001	1.131716e-006
5.000000000000002e-001	2.500000e+000	5.000000e-001	1.125245e-006
5.100000000000002e-001	2.500000e+000	5.100000e-001	1.119161e-006
5.200000000000002e-001	2.500000e+000	5.200000e-001	1.113369e-006
5.300000000000003e-001	2.500000e+000	5.300000e-001	1.107801e-006
5.400000000000003e-001	2.500000e+000	5.400000e-001	1.102414e-006
5.500000000000003e-001	2.500000e+000	5.500000e-001	1.097171e-006
5.600000000000003e-001	2.500000e+000	5.600000e-001	1.092050e-006
5.700000000000003e-001	2.500000e+000	5.700000e-001	1.087032e-006
5.800000000000003e-001	2.500000e+000	5.800000e-001	1.082102e-006
5.900000000000003e-001	2.500000e+000	5.900000e-001	1.077250e-006
6.000000000000003e-001	2.500000e+000	6.000000e-001	1.072468e-006
6.100000000000003e-001	2.500000e+000	6.100000e-001	1.067746e-006
6.200000000000003e-001	2.500000e+000	6.200000e-001	1.063082e-006
6.300000000000003e-001	2.500000e+000	6.300000e-001	1.058468e-006
6.400000000000004e-001	2.500000e+000	6.400000e-001	1.053902e-006
6.500000000000004e-001	2.500000e+000	6.500000e-001	1.049381e-006
6.600000000000004e-001	2.500000e+000	6.600000e-001	1.044900e-006
6.700000000000004e-001	2.500000e+000	6.700000e-001	1.040458e-006
6.800000000000004e-001	2.500000e+000	6.800000e-001	1.036052e-006
6.900000000000004e-001	2.500000e+000	6.900000e-001	1.031680e-006
7.000000000000004e-001	2.500000e+000	7.000000e-001	1.027341e-006
7.100000000000004e-001	2.500000e+000	7.100000e-001	1.023033e-006
7.200000000000004e-001	2.500000e+000	7.200000e-001	1.018754e-006
7.300000000000004e-001	2.500000e+000	7.300000e-001	1.014503e-006
7.400000000000004e-001	2.500000e+000	7.400000e-001	1.010280e-006
7.500000000000004e-001	2.500000e+000	7.500000e-001	1.006082e-006
7.600000000000005e-001	2.500000e+000	7.600000e-001	1.001909e-006
7.700000000000005e-001	2.500000e+000	7.700000e-001	9.977593e-007
7.800000000000005e-001	2.500000e+000	7.800000e-001	9.936330e-007
7.900000000000005e-001	2.500000e+000	7.900000e-001	9.895286e-007
8.000000000000005e-001	2.500000e+000	8.000000e-001	9.854456e-007
8.100000000000005e-001	2.500000e+000	8.100000e-001	9.813831e-007
8.200000000000005e-001	2.500000e+000	8.200000e-001	9.773405e-007
8.300000000000005e-001	2.500000e+000	8.300000e-001	9.733170e-007
8.400000000000005e-001	2.500000e+000	8.400000e-001	9.693121e-007
8.500000000000005e-001	2.500000e+000	8.500000e-001	9.653252e-007
8.600000000000005e-001	2.500000e+000	8.600000e-001	9.613556e-007
8.700000000000006e-001	2.500000e+000	8.700000e-001	9.574029e-007
8.800000000000006e-001	2.500000e+000	8.800000e-001	9.534666e-007
8.900000000000006e-001	2.500000e+000	8.900000e-001	9.495461e-007
9.000000000000006e-001	2.500000e+000	9.000000e-001	9.456409e-007
9.100000000000006e-001	2.500000e+000	9.100000e-001	9.417507e-007
9.200000000000006e-001	2.500000e+000	9.200000e-001	9.378750e-007
9.300000000000006e-001	2.500000e+000	9.300000e-001	9.340134e-007
9.400000000000006e-001	2.500000e+000	9.400000e-001	9.301655e-007
9.500000000000006e-001	2.500000e+000	9.500000e-001	9.263309e-007
9.600000000000006e-001	2.500000e+000	9.600000e-001	9.225092e-007
9.700000000000006e-001	2.500000e+000	9.700000e-001	9.187000e-007
9.800000000000007e-001	2.500000e+000	9.800000e-001	9.149031e-007
9.900000000000007e-001	2.500000e+000	9.900000e-001	9.111180e-007
1.000000000000001e+000	2.500000e+000	1.000000e+000	9.073445e-007
1.010000000000001e+000	2.500000e+000	1.010000e+000	9.035824e-007
1.020000000000001e+000	2.500000e+000	1.020000e+000	8.998310e-007
