v1	V(v_1)	V(v_2)	V(vout)
Step Information: V2=1  (Run: 1/4)
0.000000000000000e+000	0.000000e+000	1.000000e+000	1.402410e-002
1.000000000000000e-002	1.000000e-002	1.000000e+000	1.461261e-002
2.000000000000000e-002	2.000000e-002	1.000000e+000	1.520771e-002
3.000000000000000e-002	3.000000e-002	1.000000e+000	1.582791e-002
4.000000000000000e-002	4.000000e-002	1.000000e+000	1.646275e-002
5.000000000000000e-002	5.000000e-002	1.000000e+000	1.711717e-002
6.000000000000001e-002	6.000000e-002	1.000000e+000	1.778912e-002
7.000000000000001e-002	7.000000e-002	1.000000e+000	1.847988e-002
8.000000000000000e-002	8.000000e-002	1.000000e+000	1.918920e-002
9.000000000000000e-002	9.000000e-002	1.000000e+000	1.991748e-002
9.999999999999999e-002	1.000000e-001	1.000000e+000	2.066484e-002
1.100000000000000e-001	1.100000e-001	1.000000e+000	2.143146e-002
1.200000000000000e-001	1.200000e-001	1.000000e+000	2.221747e-002
1.300000000000000e-001	1.300000e-001	1.000000e+000	2.302300e-002
1.400000000000000e-001	1.400000e-001	1.000000e+000	2.384814e-002
1.500000000000000e-001	1.500000e-001	1.000000e+000	2.469296e-002
1.600000000000000e-001	1.600000e-001	1.000000e+000	2.555750e-002
1.700000000000000e-001	1.700000e-001	1.000000e+000	2.644176e-002
1.800000000000000e-001	1.800000e-001	1.000000e+000	2.734571e-002
1.900000000000000e-001	1.900000e-001	1.000000e+000	2.826927e-002
2.000000000000000e-001	2.000000e-001	1.000000e+000	2.921234e-002
2.100000000000001e-001	2.100000e-001	1.000000e+000	3.017478e-002
2.200000000000001e-001	2.200000e-001	1.000000e+000	3.115641e-002
2.300000000000001e-001	2.300000e-001	1.000000e+000	3.215706e-002
2.400000000000001e-001	2.400000e-001	1.000000e+000	3.317655e-002
2.500000000000001e-001	2.500000e-001	1.000000e+000	3.421470e-002
2.600000000000001e-001	2.600000e-001	1.000000e+000	3.527138e-002
2.700000000000001e-001	2.700000e-001	1.000000e+000	3.634645e-002
2.800000000000001e-001	2.800000e-001	1.000000e+000	3.743986e-002
2.900000000000001e-001	2.900000e-001	1.000000e+000	3.855155e-002
3.000000000000001e-001	3.000000e-001	1.000000e+000	3.968151e-002
3.100000000000001e-001	3.100000e-001	1.000000e+000	4.082979e-002
3.200000000000001e-001	3.200000e-001	1.000000e+000	4.199645e-002
3.300000000000001e-001	3.300000e-001	1.000000e+000	4.318156e-002
3.400000000000001e-001	3.400000e-001	1.000000e+000	4.438528e-002
3.500000000000001e-001	3.500000e-001	1.000000e+000	4.560772e-002
3.600000000000002e-001	3.600000e-001	1.000000e+000	4.684908e-002
3.700000000000002e-001	3.700000e-001	1.000000e+000	4.810953e-002
3.800000000000002e-001	3.800000e-001	1.000000e+000	4.938929e-002
3.900000000000002e-001	3.900000e-001	1.000000e+000	5.068860e-002
4.000000000000002e-001	4.000000e-001	1.000000e+000	5.200771e-002
4.100000000000002e-001	4.100000e-001	1.000000e+000	5.334691e-002
4.200000000000002e-001	4.200000e-001	1.000000e+000	5.470649e-002
4.300000000000002e-001	4.300000e-001	1.000000e+000	5.608679e-002
4.400000000000002e-001	4.400000e-001	1.000000e+000	5.748818e-002
4.500000000000002e-001	4.500000e-001	1.000000e+000	5.891103e-002
4.600000000000002e-001	4.600000e-001	1.000000e+000	6.035580e-002
4.700000000000003e-001	4.700000e-001	1.000000e+000	6.182294e-002
4.800000000000003e-001	4.800000e-001	1.000000e+000	6.331301e-002
4.900000000000003e-001	4.900000e-001	1.000000e+000	6.482658e-002
5.000000000000002e-001	5.000000e-001	1.000000e+000	6.636433e-002
5.100000000000002e-001	5.100000e-001	1.000000e+000	6.792705e-002
5.200000000000002e-001	5.200000e-001	1.000000e+000	6.951560e-002
5.300000000000003e-001	5.300000e-001	1.000000e+000	7.113102e-002
5.400000000000003e-001	5.400000e-001	1.000000e+000	7.277451e-002
5.500000000000003e-001	5.500000e-001	1.000000e+000	7.444750e-002
5.600000000000003e-001	5.600000e-001	1.000000e+000	7.615163e-002
5.700000000000003e-001	5.700000e-001	1.000000e+000	7.788891e-002
5.800000000000003e-001	5.800000e-001	1.000000e+000	7.966166e-002
5.900000000000003e-001	5.900000e-001	1.000000e+000	8.147265e-002
6.000000000000003e-001	6.000000e-001	1.000000e+000	8.332511e-002
