time	V(v_1)	V(vout)
0.000000000000000e+000	0.000000e+000	1.593235e-001
1.000000000000000e-007	0.000000e+000	1.593235e-001
1.000087998998886e-007	3.333333e+000	1.609112e-001
1.000263996996659e-007	5.000000e+000	1.616471e-001
1.000328359778036e-007	5.000000e+000	1.616197e-001
1.000394585566114e-007	5.000000e+000	1.615926e-001
1.000527037142270e-007	5.000000e+000	1.615406e-001
1.000791940294583e-007	5.000000e+000	1.614448e-001
1.001321746599208e-007	5.000000e+000	1.612821e-001
1.002381359208458e-007	5.000000e+000	1.610465e-001
1.004500584426958e-007	5.000000e+000	1.607828e-001
1.006808754733356e-007	5.000000e+000	1.607114e-001
1.009526303089947e-007	5.000000e+000	1.608482e-001
1.012704193535851e-007	5.000000e+000	1.612216e-001
1.017268895719335e-007	5.000000e+000	1.620496e-001
1.023581430745879e-007	5.000000e+000	1.636568e-001
1.034703572791373e-007	5.000000e+000	1.675338e-001
1.050023881725365e-007	5.000000e+000	1.747093e-001
1.067012766464323e-007	5.000000e+000	1.853159e-001
1.089854566194632e-007	5.000000e+000	2.036230e-001
1.131692053241213e-007	5.000000e+000	2.425212e-001
1.165807933962231e-007	5.000000e+000	2.760530e-001
1.200820112549038e-007	5.000000e+000	3.109009e-001
1.239566690791493e-007	5.000000e+000	3.494173e-001
1.307926065791493e-007	5.000000e+000	4.173361e-001
1.376285440791493e-007	5.000000e+000	4.851983e-001
1.444644815791493e-007	5.000000e+000	5.529932e-001
1.581363565791494e-007	5.000000e+000	6.883671e-001
1.659488565791494e-007	5.000000e+000	7.655955e-001
1.737613565791494e-007	5.000000e+000	8.427142e-001
1.815738565791494e-007	5.000000e+000	9.197231e-001
1.893863565791494e-007	5.000000e+000	9.966222e-001
1.971988565791494e-007	5.000000e+000	1.073412e+000
2.050113565791494e-007	5.000000e+000	1.150091e+000
2.128238565791494e-007	5.000000e+000	1.226661e+000
2.196597940791494e-007	5.000000e+000	1.293554e+000
2.264957315791494e-007	5.000000e+000	1.360347e+000
2.333316690791494e-007	5.000000e+000	1.427027e+000
2.401676065791494e-007	5.000000e+000	1.493565e+000
2.470035440791494e-007	5.000000e+000	1.559921e+000
2.538394815791494e-007	5.000000e+000	1.626052e+000
2.599758210317167e-007	5.000000e+000	1.685154e+000
2.662972170498430e-007	5.000000e+000	1.745664e+000
2.709134267104864e-007	5.000000e+000	1.789365e+000
2.757960781465606e-007	5.000000e+000	1.834876e+000
2.794026557036353e-007	5.000000e+000	1.867918e+000
2.834406221943595e-007	5.000000e+000	1.904258e+000
2.891295767325378e-007	5.000000e+000	1.954535e+000
2.959655142325378e-007	5.000000e+000	2.013714e+000
3.028014517325378e-007	5.000000e+000	2.071524e+000
3.096373892325378e-007	5.000000e+000	2.127916e+000
3.164733267325378e-007	5.000000e+000	2.182906e+000
3.233092642325378e-007	5.000000e+000	2.236515e+000
3.301452017325378e-007	5.000000e+000	2.288774e+000
3.369811392325378e-007	5.000000e+000	2.339720e+000
3.438170767325378e-007	5.000000e+000	2.389396e+000
3.506530142325378e-007	5.000000e+000	2.437852e+000
3.574889517325378e-007	5.000000e+000	2.485139e+000
3.643248892325378e-007	5.000000e+000	2.531306e+000
3.779967642325379e-007	5.000000e+000	2.620442e+000
3.916686392325379e-007	5.000000e+000	2.705088e+000
4.053405142325379e-007	5.000000e+000	2.786367e+000
4.190123892325379e-007	5.000000e+000	2.864278e+000
4.326842642325379e-007	5.000000e+000	2.938821e+000
4.463561392325380e-007	5.000000e+000	3.009996e+000
4.600280142325380e-007	5.000000e+000	3.077803e+000
4.736998892325380e-007	5.000000e+000	3.142243e+000
4.990905142325378e-007	5.000000e+000	3.253689e+000
5.244811392325377e-007	5.000000e+000	3.358030e+000
5.498717642325375e-007	5.000000e+000	3.455268e+000
5.752623892325373e-007	5.000000e+000	3.545401e+000
6.006530142325372e-007	5.000000e+000	3.628431e+000
6.260436392325371e-007	5.000000e+000	3.704356e+000
6.514342642325368e-007	5.000000e+000	3.773177e+000
6.719420767325367e-007	5.000000e+000	3.826192e+000
6.924498892325365e-007	5.000000e+000	3.876053e+000
7.129577017325364e-007	5.000000e+000	3.922970e+000
7.334655142325363e-007	5.000000e+000	3.967133e+000
7.539733267325361e-007	5.000000e+000	4.008718e+000
7.676452017325360e-007	5.000000e+000	4.035090e+000
7.813170767325360e-007	5.000000e+000	4.060435e+000
