time	V(v_1)	V(vout)
0.000000000000000e+000	0.000000e+000	1.593235e-001
6.835937387981647e-014	0.000000e+000	1.593235e-001
2.734374955192659e-013	0.000000e+000	1.593235e-001
1.000000000000000e-007	0.000000e+000	1.593235e-001
1.000087998998886e-007	3.333333e+000	1.609242e-001
1.000263996996659e-007	5.000000e+000	1.616651e-001
1.000295246883340e-007	5.000000e+000	1.616512e-001
1.000527037692221e-007	5.000000e+000	1.615552e-001
1.000791941473799e-007	5.000000e+000	1.614557e-001
1.001321749036955e-007	5.000000e+000	1.612846e-001
1.002381364163267e-007	5.000000e+000	1.610310e-001
1.004500594415890e-007	5.000000e+000	1.607295e-001
1.006744767611879e-007	5.000000e+000	1.606217e-001
1.009488488374772e-007	5.000000e+000	1.607137e-001
1.012623788895175e-007	5.000000e+000	1.610187e-001
1.017227102231717e-007	5.000000e+000	1.617112e-001
1.023431841237947e-007	5.000000e+000	1.629159e-001
1.034602069038053e-007	5.000000e+000	1.654509e-001
1.050448148156180e-007	5.000000e+000	1.693439e-001
1.067151235589214e-007	5.000000e+000	1.736010e-001
1.090377092094910e-007	5.000000e+000	1.796124e-001
1.131917049316483e-007	5.000000e+000	1.904383e-001
1.200276424316483e-007	5.000000e+000	2.083160e-001
1.268635799316483e-007	5.000000e+000	2.262219e-001
1.336995174316483e-007	5.000000e+000	2.441389e-001
1.405354549316483e-007	5.000000e+000	2.620578e-001
1.542073299316483e-007	5.000000e+000	2.978894e-001
1.678792049316483e-007	5.000000e+000	3.337076e-001
1.815510799316483e-007	5.000000e+000	3.695022e-001
1.952229549316484e-007	5.000000e+000	4.052732e-001
2.088948299316484e-007	5.000000e+000	4.410205e-001
2.225667049316484e-007	5.000000e+000	4.767443e-001
2.362385799316484e-007	5.000000e+000	5.124444e-001
2.499104549316484e-007	5.000000e+000	5.481209e-001
2.938557674316484e-007	5.000000e+000	6.626332e-001
3.378010799316484e-007	5.000000e+000	7.768509e-001
3.817463924316483e-007	5.000000e+000	8.907739e-001
4.256917049316484e-007	5.000000e+000	1.004402e+000
4.696370174316483e-007	5.000000e+000	1.117736e+000
5.135823299316483e-007	5.000000e+000	1.230775e+000
5.575276424316482e-007	5.000000e+000	1.343519e+000
6.073323299316479e-007	5.000000e+000	1.470942e+000
6.571370174316475e-007	5.000000e+000	1.597886e+000
7.069417049316472e-007	5.000000e+000	1.724351e+000
7.567463924316469e-007	5.000000e+000	1.850336e+000
8.065510799316466e-007	5.000000e+000	1.975842e+000
8.563557674316462e-007	5.000000e+000	2.100868e+000
9.061604549316458e-007	5.000000e+000	2.225415e+000
9.374104549316461e-007	5.000000e+000	2.303460e+000
9.686604549316463e-007	5.000000e+000	2.380436e+000
9.999104549316464e-007	5.000000e+000	2.456343e+000
1.031160454931647e-006	5.000000e+000	2.531182e+000
1.062410454931647e-006	5.000000e+000	2.604953e+000
1.093660454931647e-006	5.000000e+000	2.677655e+000
1.124910454931647e-006	5.000000e+000	2.749288e+000
1.162019829931647e-006	5.000000e+000	2.831954e+000
1.199129204931648e-006	5.000000e+000	2.912381e+000
1.236238579931648e-006	5.000000e+000	2.990571e+000
1.273347954931648e-006	5.000000e+000	3.066522e+000
1.310457329931649e-006	5.000000e+000	3.140235e+000
1.347566704931649e-006	5.000000e+000	3.211710e+000
1.384676079931649e-006	5.000000e+000	3.280947e+000
1.438387017431650e-006	5.000000e+000	3.376801e+000
1.492097954931650e-006	5.000000e+000	3.469126e+000
1.545808892431651e-006	5.000000e+000	3.557922e+000
1.599519829931652e-006	5.000000e+000	3.643188e+000
1.653230767431652e-006	5.000000e+000	3.724925e+000
1.706941704931652e-006	5.000000e+000	3.803134e+000
1.760652642431653e-006	5.000000e+000	3.877813e+000
1.794832329931653e-006	5.000000e+000	3.924469e+000
1.831941704931653e-006	5.000000e+000	3.973969e+000
1.869051079931654e-006	5.000000e+000	4.022572e+000
1.906160454931654e-006	5.000000e+000	4.070278e+000
1.943269829931654e-006	5.000000e+000	4.117086e+000
1.980379204931655e-006	5.000000e+000	4.162996e+000
2.017488579931655e-006	5.000000e+000	4.208010e+000
2.054597954931655e-006	5.000000e+000	4.252125e+000
2.075105767431655e-006	5.000000e+000	4.276117e+000
2.095613579931656e-006	5.000000e+000	4.299804e+000
2.116121392431656e-006	5.000000e+000	4.323164e+000
2.129793267431656e-006	5.000000e+000	4.338544e+000
2.143465142431656e-006	5.000000e+000	4.353759e+000
2.157137017431656e-006	5.000000e+000	4.368800e+000
2.163972954931656e-006	5.000000e+000	4.376252e+000
2.170808892431656e-006	5.000000e+000	4.383657e+000
2.177644829931656e-006	5.000000e+000	4.391013e+000
2.184480767431656e-006	5.000000e+000	4.398319e+000
2.191316704931656e-006	5.000000e+000	4.405575e+000
2.198152642431656e-006	5.000000e+000	4.412780e+000
2.204988579931656e-006	5.000000e+000	4.419930e+000
2.211824517431657e-006	5.000000e+000	4.427020e+000
2.218660454931657e-006	5.000000e+000	4.434036e+000
2.225496392431657e-006	5.000000e+000	4.440957e+000
2.232332329931657e-006	5.000000e+000	4.447766e+000
2.239168267431657e-006	5.000000e+000	4.454462e+000
2.246004204931657e-006	5.000000e+000	4.461055e+000
2.252840142431657e-006	5.000000e+000	4.467554e+000
2.268465142431657e-006	5.000000e+000	4.482084e+000
2.284090142431657e-006	5.000000e+000	4.496156e+000
2.299715142431657e-006	5.000000e+000	4.509769e+000
2.315340142431658e-006	5.000000e+000	4.522925e+000
2.330965142431658e-006	5.000000e+000	4.535623e+000
2.346590142431658e-006	5.000000e+000	4.547863e+000
2.362215142431658e-006	5.000000e+000	4.559645e+000
2.396394829931658e-006	5.000000e+000	4.583567e+000
2.430574517431658e-006	5.000000e+000	4.605712e+000
2.464754204931659e-006	5.000000e+000	4.626078e+000
2.498933892431659e-006	5.000000e+000	4.644668e+000
2.533113579931659e-006	5.000000e+000	4.661479e+000
2.567293267431660e-006	5.000000e+000	4.676513e+000
2.601472954931660e-006	5.000000e+000	4.689770e+000
2.635652642431660e-006	5.000000e+000	4.701742e+000
2.669832329931661e-006	5.000000e+000	4.712742e+000
2.704012017431661e-006	5.000000e+000	4.722769e+000
2.738191704931661e-006	5.000000e+000	4.731824e+000
2.772371392431661e-006	5.000000e+000	4.739907e+000
2.806551079931662e-006	5.000000e+000	4.747018e+000
2.840730767431662e-006	5.000000e+000	4.753156e+000
2.871980767431662e-006	5.000000e+000	4.758286e+000
2.903230767431663e-006	5.000000e+000	4.763013e+000
2.934480767431663e-006	5.000000e+000	4.767339e+000
2.965730767431663e-006	5.000000e+000	4.771263e+000
2.996980767431663e-006	5.000000e+000	4.774785e+000
3.028230767431664e-006	5.000000e+000	4.777905e+000
3.059480767431664e-006	5.000000e+000	4.780623e+000
3.092683892431664e-006	5.000000e+000	4.783245e+000
3.125887017431665e-006	5.000000e+000	4.785649e+000
3.159090142431665e-006	5.000000e+000	4.787836e+000
3.192293267431665e-006	5.000000e+000	4.789805e+000
3.225496392431666e-006	5.000000e+000	4.791557e+000
3.258699517431666e-006	5.000000e+000	4.793091e+000
3.291902642431666e-006	5.000000e+000	4.794408e+000
3.329988579931666e-006	5.000000e+000	4.795762e+000
3.368074517431667e-006	5.000000e+000	4.796992e+000
3.406160454931667e-006	5.000000e+000	4.798096e+000
3.444246392431668e-006	5.000000e+000	4.799077e+000
3.482332329931668e-006	5.000000e+000	4.799932e+000
3.520418267431668e-006	5.000000e+000	4.800663e+000
3.558504204931668e-006	5.000000e+000	4.801269e+000
3.598543267431669e-006	5.000000e+000	4.801841e+000
3.638582329931669e-006	5.000000e+000	4.802359e+000
3.678621392431670e-006	5.000000e+000	4.802822e+000
3.718660454931670e-006	5.000000e+000	4.803231e+000
3.758699517431670e-006	5.000000e+000	4.803584e+000
3.798738579931670e-006	5.000000e+000	4.803883e+000
3.838777642431670e-006	5.000000e+000	4.804127e+000
