i1	I(I1)	I(I2)	Ix(U27:DRAIN)
0.000000000000000e+000	0.000000e+000	5.000000e-006	5.305764e-006
9.999999999999999e-009	1.000000e-008	5.000000e-006	5.295082e-006
2.000000000000000e-008	2.000000e-008	5.000000e-006	5.284456e-006
3.000000000000000e-008	3.000000e-008	5.000000e-006	5.273836e-006
3.999999999999999e-008	4.000000e-008	5.000000e-006	5.263229e-006
4.999999999999999e-008	5.000000e-008	5.000000e-006	5.252632e-006
6.000000000000000e-008	6.000000e-008	5.000000e-006	5.242045e-006
6.999999999999999e-008	7.000000e-008	5.000000e-006	5.231465e-006
7.999999999999999e-008	8.000000e-008	5.000000e-006	5.220892e-006
8.999999999999999e-008	9.000000e-008	5.000000e-006	5.210326e-006
9.999999999999998e-008	1.000000e-007	5.000000e-006	5.199764e-006
1.100000000000000e-007	1.100000e-007	5.000000e-006	5.189206e-006
1.200000000000000e-007	1.200000e-007	5.000000e-006	5.178653e-006
1.300000000000000e-007	1.300000e-007	5.000000e-006	5.168105e-006
1.400000000000000e-007	1.400000e-007	5.000000e-006	5.157559e-006
1.500000000000000e-007	1.500000e-007	5.000000e-006	5.147017e-006
1.600000000000000e-007	1.600000e-007	5.000000e-006	5.136478e-006
1.700000000000000e-007	1.700000e-007	5.000000e-006	5.125943e-006
1.800000000000001e-007	1.800000e-007	5.000000e-006	5.115409e-006
1.900000000000001e-007	1.900000e-007	5.000000e-006	5.104878e-006
2.000000000000001e-007	2.000000e-007	5.000000e-006	5.094350e-006
2.100000000000001e-007	2.100000e-007	5.000000e-006	5.083823e-006
2.200000000000001e-007	2.200000e-007	5.000000e-006	5.073300e-006
2.300000000000001e-007	2.300000e-007	5.000000e-006	5.062777e-006
2.400000000000001e-007	2.400000e-007	5.000000e-006	5.052257e-006
2.500000000000001e-007	2.500000e-007	5.000000e-006	5.041738e-006
2.600000000000001e-007	2.600000e-007	5.000000e-006	5.031222e-006
2.700000000000001e-007	2.700000e-007	5.000000e-006	5.020706e-006
2.800000000000001e-007	2.800000e-007	5.000000e-006	5.010193e-006
2.900000000000001e-007	2.900000e-007	5.000000e-006	4.999681e-006
3.000000000000002e-007	3.000000e-007	5.000000e-006	4.989170e-006
3.100000000000002e-007	3.100000e-007	5.000000e-006	4.978660e-006
3.200000000000002e-007	3.200000e-007	5.000000e-006	4.968152e-006
3.300000000000002e-007	3.300000e-007	5.000000e-006	4.957645e-006
3.400000000000002e-007	3.400000e-007	5.000000e-006	4.947139e-006
3.500000000000002e-007	3.500000e-007	5.000000e-006	4.936634e-006
3.600000000000002e-007	3.600000e-007	5.000000e-006	4.926131e-006
3.700000000000002e-007	3.700000e-007	5.000000e-006	4.915628e-006
3.800000000000002e-007	3.800000e-007	5.000000e-006	4.905126e-006
3.900000000000002e-007	3.900000e-007	5.000000e-006	4.894626e-006
4.000000000000003e-007	4.000000e-007	5.000000e-006	4.884126e-006
4.100000000000003e-007	4.100000e-007	5.000000e-006	4.873627e-006
4.200000000000003e-007	4.200000e-007	5.000000e-006	4.863129e-006
4.300000000000003e-007	4.300000e-007	5.000000e-006	4.852632e-006
4.400000000000003e-007	4.400000e-007	5.000000e-006	4.842136e-006
4.500000000000003e-007	4.500000e-007	5.000000e-006	4.831640e-006
4.600000000000003e-007	4.600000e-007	5.000000e-006	4.821145e-006
4.700000000000003e-007	4.700000e-007	5.000000e-006	4.810651e-006
4.800000000000003e-007	4.800000e-007	5.000000e-006	4.800158e-006
4.900000000000003e-007	4.900000e-007	5.000000e-006	4.789665e-006
5.000000000000003e-007	5.000000e-007	5.000000e-006	4.779173e-006
5.100000000000003e-007	5.100000e-007	5.000000e-006	4.768682e-006
5.200000000000003e-007	5.200000e-007	5.000000e-006	4.758191e-006
5.300000000000003e-007	5.300000e-007	5.000000e-006	4.747701e-006
5.400000000000003e-007	5.400000e-007	5.000000e-006	4.737211e-006
5.500000000000004e-007	5.500000e-007	5.000000e-006	4.726722e-006
5.600000000000004e-007	5.600000e-007	5.000000e-006	4.716234e-006
5.700000000000004e-007	5.700000e-007	5.000000e-006	4.705746e-006
5.800000000000004e-007	5.800000e-007	5.000000e-006	4.695258e-006
5.900000000000004e-007	5.900000e-007	5.000000e-006	4.684771e-006
6.000000000000004e-007	6.000000e-007	5.000000e-006	4.674285e-006
6.100000000000004e-007	6.100000e-007	5.000000e-006	4.663799e-006
6.200000000000004e-007	6.200000e-007	5.000000e-006	4.653314e-006
6.300000000000004e-007	6.300000e-007	5.000000e-006	4.642829e-006
6.400000000000004e-007	6.400000e-007	5.000000e-006	4.632344e-006
6.500000000000005e-007	6.500000e-007	5.000000e-006	4.621860e-006
6.600000000000005e-007	6.600000e-007	5.000000e-006	4.611376e-006
6.700000000000005e-007	6.700000e-007	5.000000e-006	4.600893e-006
6.800000000000005e-007	6.800000e-007	5.000000e-006	4.590410e-006
6.900000000000005e-007	6.900000e-007	5.000000e-006	4.579927e-006
7.000000000000005e-007	7.000000e-007	5.000000e-006	4.569445e-006
7.100000000000005e-007	7.100000e-007	5.000000e-006	4.558963e-006
7.200000000000005e-007	7.200000e-007	5.000000e-006	4.548482e-006
7.300000000000005e-007	7.300000e-007	5.000000e-006	4.538000e-006
7.400000000000005e-007	7.400000e-007	5.000000e-006	4.527520e-006
7.500000000000006e-007	7.500000e-007	5.000000e-006	4.517039e-006
7.600000000000006e-007	7.600000e-007	5.000000e-006	4.506559e-006
7.700000000000006e-007	7.700000e-007	5.000000e-006	4.496079e-006
7.800000000000006e-007	7.800000e-007	5.000000e-006	4.485599e-006
7.900000000000006e-007	7.900000e-007	5.000000e-006	4.475120e-006
8.000000000000006e-007	8.000000e-007	5.000000e-006	4.464641e-006
8.100000000000006e-007	8.100000e-007	5.000000e-006	4.454163e-006
8.200000000000006e-007	8.200000e-007	5.000000e-006	4.443684e-006
