v1	V(v_1)	V(v_2)	I(V3)
-1.000000000000000e+000	1.500000e+000	2.500000e+000	-7.569568e-005
-9.990000000000000e-001	1.501000e+000	2.500000e+000	-7.563574e-005
-9.980000000000000e-001	1.502000e+000	2.500000e+000	-7.557523e-005
-9.970000000000000e-001	1.503000e+000	2.500000e+000	-7.551478e-005
-9.960000000000000e-001	1.504000e+000	2.500000e+000	-7.545429e-005
-9.950000000000000e-001	1.505000e+000	2.500000e+000	-7.539368e-005
-9.940000000000000e-001	1.506000e+000	2.500000e+000	-7.533296e-005
-9.930000000000000e-001	1.507000e+000	2.500000e+000	-7.527215e-005
-9.920000000000000e-001	1.508000e+000	2.500000e+000	-7.521122e-005
-9.910000000000000e-001	1.509000e+000	2.500000e+000	-7.515019e-005
-9.900000000000000e-001	1.510000e+000	2.500000e+000	-7.508906e-005
-9.890000000000000e-001	1.511000e+000	2.500000e+000	-7.502783e-005
-9.880000000000000e-001	1.512000e+000	2.500000e+000	-7.496649e-005
-9.870000000000000e-001	1.513000e+000	2.500000e+000	-7.490505e-005
-9.860000000000000e-001	1.514000e+000	2.500000e+000	-7.484351e-005
-9.850000000000000e-001	1.515000e+000	2.500000e+000	-7.478187e-005
-9.840000000000000e-001	1.516000e+000	2.500000e+000	-7.472012e-005
-9.830000000000000e-001	1.517000e+000	2.500000e+000	-7.465827e-005
-9.820000000000000e-001	1.518000e+000	2.500000e+000	-7.459632e-005
-9.810000000000000e-001	1.519000e+000	2.500000e+000	-7.453426e-005
-9.800000000000000e-001	1.520000e+000	2.500000e+000	-7.447211e-005
-9.790000000000000e-001	1.521000e+000	2.500000e+000	-7.440985e-005
-9.780000000000000e-001	1.522000e+000	2.500000e+000	-7.434750e-005
-9.770000000000000e-001	1.523000e+000	2.500000e+000	-7.428503e-005
-9.760000000000000e-001	1.524000e+000	2.500000e+000	-7.422247e-005
-9.750000000000000e-001	1.525000e+000	2.500000e+000	-7.415981e-005
-9.740000000000000e-001	1.526000e+000	2.500000e+000	-7.409705e-005
-9.730000000000000e-001	1.527000e+000	2.500000e+000	-7.403419e-005
-9.720000000000000e-001	1.528000e+000	2.500000e+000	-7.397122e-005
-9.710000000000000e-001	1.529000e+000	2.500000e+000	-7.390816e-005
-9.700000000000000e-001	1.530000e+000	2.500000e+000	-7.384499e-005
-9.690000000000000e-001	1.531000e+000	2.500000e+000	-7.378172e-005
-9.680000000000000e-001	1.532000e+000	2.500000e+000	-7.371837e-005
-9.670000000000000e-001	1.533000e+000	2.500000e+000	-7.365490e-005
-9.660000000000000e-001	1.534000e+000	2.500000e+000	-7.359133e-005
-9.650000000000000e-001	1.535000e+000	2.500000e+000	-7.352768e-005
-9.640000000000000e-001	1.536000e+000	2.500000e+000	-7.346392e-005
-9.630000000000000e-001	1.537000e+000	2.500000e+000	-7.340006e-005
-9.620000000000000e-001	1.538000e+000	2.500000e+000	-7.333609e-005
-9.610000000000000e-001	1.539000e+000	2.500000e+000	-7.327204e-005
-9.600000000000000e-001	1.540000e+000	2.500000e+000	-7.320788e-005
-9.590000000000000e-001	1.541000e+000	2.500000e+000	-7.314363e-005
-9.580000000000000e-001	1.542000e+000	2.500000e+000	-7.307927e-005
-9.570000000000000e-001	1.543000e+000	2.500000e+000	-7.301482e-005
-9.560000000000000e-001	1.544000e+000	2.500000e+000	-7.295028e-005
-9.550000000000000e-001	1.545000e+000	2.500000e+000	-7.288563e-005
-9.540000000000000e-001	1.546000e+000	2.500000e+000	-7.282089e-005
-9.530000000000000e-001	1.547000e+000	2.500000e+000	-7.275605e-005
-9.520000000000000e-001	1.548000e+000	2.500000e+000	-7.269112e-005
-9.510000000000000e-001	1.549000e+000	2.500000e+000	-7.262608e-005
-9.500000000000000e-001	1.550000e+000	2.500000e+000	-7.256095e-005
