v3	V(v_2)	V(vout)	I(V3)
1.000000000000000e+000	2.500000e+000	1.000000e+000	9.073445e-007
1.100000000000000e+000	2.500000e+000	1.100000e+000	8.701820e-007
1.200000000000000e+000	2.500000e+000	1.200000e+000	8.338861e-007
1.300000000000000e+000	2.500000e+000	1.300000e+000	7.982549e-007
1.400000000000000e+000	2.500000e+000	1.400000e+000	7.631286e-007
1.500000000000000e+000	2.500000e+000	1.500000e+000	7.283766e-007
1.600000000000001e+000	2.500000e+000	1.600000e+000	6.938893e-007
1.700000000000001e+000	2.500000e+000	1.700000e+000	6.595716e-007
1.800000000000001e+000	2.500000e+000	1.800000e+000	6.253398e-007
1.900000000000001e+000	2.500000e+000	1.900000e+000	5.911173e-007
2.000000000000001e+000	2.500000e+000	2.000000e+000	5.568327e-007
2.100000000000001e+000	2.500000e+000	2.100000e+000	5.224176e-007
2.200000000000001e+000	2.500000e+000	2.200000e+000	4.878037e-007
2.300000000000001e+000	2.500000e+000	2.300000e+000	4.529215e-007
2.400000000000001e+000	2.500000e+000	2.400000e+000	4.176979e-007
2.500000000000001e+000	2.500000e+000	2.500000e+000	3.820541e-007
2.600000000000001e+000	2.500000e+000	2.600000e+000	3.459039e-007
2.700000000000002e+000	2.500000e+000	2.700000e+000	3.091518e-007
2.800000000000002e+000	2.500000e+000	2.800000e+000	2.716911e-007
2.900000000000002e+000	2.500000e+000	2.900000e+000	2.334024e-007
3.000000000000002e+000	2.500000e+000	3.000000e+000	1.941521e-007
3.100000000000002e+000	2.500000e+000	3.100000e+000	1.537904e-007
3.200000000000002e+000	2.500000e+000	3.200000e+000	1.121497e-007
3.300000000000002e+000	2.500000e+000	3.300000e+000	6.904283e-008
3.400000000000002e+000	2.500000e+000	3.400000e+000	2.425946e-008
3.500000000000002e+000	2.500000e+000	3.500000e+000	-2.243842e-008
3.600000000000002e+000	2.500000e+000	3.600000e+000	-7.132662e-008
3.700000000000002e+000	2.500000e+000	3.700000e+000	-1.227448e-007
3.800000000000003e+000	2.500000e+000	3.800000e+000	-1.771848e-007
3.900000000000003e+000	2.500000e+000	3.900000e+000	-2.357083e-007
4.000000000000000e+000	2.500000e+000	4.000000e+000	-3.029683e-007
