V_in(Ch1),I_b(Ch1),I_e(Ch2)
0.0,-1e-09,8e-10
0.01968503937007874,1.1000000000000001e-09,1e-09
0.03937007874015748,1.8e-09,9e-10
0.05905511811023622,2.2000000000000003e-09,9e-10
0.07874015748031496,2.7e-09,1.2e-09
0.098425196850393692,2.8000000000000003e-09,1.1000000000000001e-09
0.11811023622047244,3.5000000000000003e-09,1.2e-09
0.13779527559055119,3.4000000000000003e-09,8e-10
0.15748031496062992,2.9e-09,1.1000000000000001e-09
0.17716535433070865,3.3e-09,1.3e-09
0.19685039370078738,3.8e-09,1.2e-09
0.21653543307086615,4e-09,1.3e-09
0.23622047244094488,3.9e-09,1e-09
0.25590551181102361,4.7e-09,1.2e-09
0.27559055118110237,4.5e-09,8e-10
0.29527559055118108,4.5e-09,1.4000000000000001e-09
0.31496062992125984,4.6e-09,2.3e-09
0.3346456692913386,4.9e-09,4.1e-09
0.3543307086614173,5.2e-09,6.9000000000000006e-09
0.37401574803149606,4.5e-09,1.33e-08
0.39370078740157477,5.8e-09,2.5400000000000002e-08
0.41338582677165353,6.7000000000000004e-09,5.1400000000000004e-08
0.43307086614173229,7.2e-09,1.024e-07
0.452755905511811,7.500000000000001e-09,2.1800000000000002e-07
0.47244094488188976,9.900000000000001e-09,4.25e-07
0.49212598425196852,1.46e-08,7.87e-07
0.51181102362204722,1.86e-08,1.3720000000000002e-06
0.53149606299212593,2.33e-08,2.21e-06
0.55118110236220474,3.06e-08,3.17e-06
0.57086614173228345,3.9e-08,4.32e-06
0.59055118110236215,4.59e-08,5.6100000000000005e-06
0.61023622047244097,5.3000000000000005e-08,7.0300000000000005e-06
0.62992125984251968,6.2e-08,8.570000000000001e-06
0.64960629921259838,7.200000000000001e-08,1.011e-05
0.6692913385826772,8.2e-08,1.17e-05
0.6889763779527559,9.100000000000001e-08,1.329e-05
0.70866141732283461,1.02e-07,1.4920000000000001e-05
0.72834645669291342,1.1200000000000001e-07,1.667e-05
0.74803149606299213,1.21e-07,1.84e-05
0.76771653543307083,1.33e-07,2.1099999999999998e-05
0.78740157480314954,1.4400000000000002e-07,2.2899999999999998e-05
0.80708661417322836,1.55e-07,2.4599999999999998e-05
0.82677165354330706,1.64e-07,2.6399999999999998e-05
