V_in(Ch1),I_b(Ch1),I_e(Ch2)
0.34999999999999998,5.6000000000000005e-09,1.22e-07
0.35213032581453629,4.2e-09,1.3200000000000002e-07
0.35426065162907266,2.8000000000000003e-09,1.4500000000000001e-07
0.35639097744360898,3e-09,1.5600000000000002e-07
0.35852130325814535,2.2000000000000003e-09,1.6800000000000002e-07
0.36065162907268167,1.9e-09,1.8100000000000002e-07
0.36278195488721804,2.1e-09,1.9900000000000002e-07
0.36491228070175435,1.8e-09,2.14e-07
0.36704260651629073,1.6e-09,2.3100000000000002e-07
0.36917293233082704,1.8e-09,2.49e-07
0.37130325814536336,1.4000000000000001e-09,2.74e-07
0.37343358395989973,1.7000000000000001e-09,2.96e-07
0.37556390977443604,1.3e-09,3.1900000000000004e-07
0.37769423558897242,1.1000000000000001e-09,3.4500000000000003e-07
0.37982456140350873,1.2e-09,3.78e-07
0.3819548872180451,1.5e-09,4.09e-07
0.38408521303258142,1.6e-09,4.42e-07
0.38621553884711779,6e-10,4.75e-07
0.38834586466165411,1.4000000000000001e-09,5.210000000000001e-07
0.39047619047619048,6e-10,5.6e-07
0.39260651629072679,9e-10,6.03e-07
0.39473684210526316,1.8e-09,6.490000000000001e-07
0.39686716791979948,1.8e-09,7.110000000000001e-07
0.3989974937343358,1.5e-09,7.64e-07
0.40112781954887217,1.7000000000000001e-09,8.22e-07
0.40325814536340848,1.9e-09,9.01e-07
0.40538847117794485,1.9e-09,9.69e-07
0.40751879699248117,1.7000000000000001e-09,1.043e-06
0.40964912280701754,1.5e-09,1.1210000000000002e-06
0.41177944862155386,1.4000000000000001e-09,1.2280000000000001e-06
0.41390977443609023,2.3e-09,1.3210000000000001e-06
0.41604010025062654,2e-09,1.4200000000000002e-06
0.41817042606516286,2.2000000000000003e-09,1.5270000000000002e-06
0.42030075187969923,2.5e-09,1.6710000000000002e-06
0.4224310776942356,2.2000000000000003e-09,1.7950000000000002e-06
0.42456140350877192,2.5e-09,1.929e-06
0.42669172932330823,3.3e-09,2.18e-06
0.4288220551378446,3.4000000000000003e-09,2.38e-06
0.43095238095238092,3.3e-09,2.56e-06
0.43308270676691729,3.2e-09,2.75e-06
0.43521303258145361,4.4000000000000005e-09,2.96e-06
0.43734335839598992,3.9e-09,3.23e-06
0.43947368421052629,4.8e-09,3.48e-06
0.44160401002506267,5.2e-09,3.74e-06
0.44373433583959898,6.1e-09,4.0200000000000005e-06
0.4458646616541353,5.7000000000000006e-09,4.41e-06
0.44799498746867167,6.8000000000000005e-09,4.74e-06
0.45012531328320798,6e-09,5.12e-06
0.45225563909774436,7.6e-09,5.64e-06
0.45438596491228067,7.7e-09,6.09e-06
0.45651629072681704,8.5e-09,6.5800000000000005e-06
0.45864661654135336,9.4e-09,7.1100000000000005e-06
0.46077694235588973,1.06e-08,7.82e-06
0.46290726817042605,1.07e-08,8.45e-06
0.46503759398496236,1.2e-08,9.13e-06
0.46716791979949873,1.2e-08,9.85e-06
0.4692982456140351,1.42e-08,1.085e-05
0.47142857142857142,1.48e-08,1.171e-05
0.47355889724310773,1.63e-08,1.266e-05
0.47568922305764405,1.7200000000000002e-08,1.365e-05
0.47781954887218042,1.93e-08,1.5e-05
0.47994987468671679,2.08e-08,1.62e-05
0.48208020050125311,2.16e-08,1.747e-05
0.48421052631578942,2.45e-08,1.885e-05
0.4863408521303258,2.7200000000000002e-08,2.2199999999999998e-05
0.48847117794486217,2.93e-08,2.3899999999999998e-05
0.49060150375939848,3.14e-08,2.58e-05
0.4927318295739348,3.4400000000000004e-08,2.7799999999999998e-05
0.49486215538847117,3.8e-08,3.06e-05
0.49699248120300754,4.1100000000000004e-08,3.29e-05
0.49912280701754386,4.46e-08,3.5499999999999996e-05
0.50125313283208017,4.89e-08,3.9099999999999995e-05
0.50338345864661649,5.24e-08,4.2199999999999996e-05
0.5055137844611528,5.7e-08,4.56e-05
0.50764411027568923,6.18e-08,4.9199999999999997e-05
0.50977443609022555,6.8e-08,5.4e-05
0.51190476190476186,7.33e-08,5.8299999999999994e-05
0.51403508771929829,7.91e-08,6.28e-05
0.5161654135338346,8.54e-08,6.76e-05
0.51829573934837092,9.38e-08,7.41e-05
0.52042606516290724,1.0090000000000001e-07,7.98e-05
0.52255639097744355,1.0880000000000001e-07,8.59e-05
0.52468671679197998,1.1690000000000001e-07,9.24e-05
0.52681704260651629,1.291e-07,0.0001013
0.52894736842105261,1.377e-07,0.00010879999999999999
0.53107769423558893,1.493e-07,0.0001171
0.53320802005012524,1.606e-07,0.0001259
0.53533834586466167,1.7570000000000002e-07,0.0001378
0.53746867167919798,1.9200000000000003e-07,0.0001516
0.5395989974937343,2.0600000000000002e-07,0.000163
0.54172932330827073,2.22e-07,0.00017549999999999998
0.54385964912280693,2.43e-07,0.00019229999999999999
0.54598997493734336,2.7e-07,0.000217
0.54812030075187967,2.91e-07,0.000233
0.55025062656641599,3.2e-07,0.00025499999999999996
0.55238095238095242,3.4500000000000003e-07,0.00027499999999999996
0.55451127819548873,3.7200000000000005e-07,0.000296
0.55664160401002505,4.01e-07,0.000318
0.55877192982456136,4.42e-07,0.00034899999999999997
0.56090225563909768,4.7600000000000003e-07,0.000376
0.56303258145363411,5.15e-07,0.000404
0.56516290726817042,5.550000000000001e-07,0.000435
0.56729323308270674,6.09e-07,0.000477
0.56942355889724305,6.56e-07,0.000513
0.57155388471177937,7.09e-07,0.000553
0.5736842105263158,7.64e-07,0.000596
0.57581453634085211,8.4e-07,0.000654
0.57794486215538843,9.100000000000001e-07,0.0007059999999999999
0.58007518796992485,9.82e-07,0.000762
0.58220551378446117,1.061e-06,0.0008219999999999999
0.58433583959899749,1.171e-06,0.000905
0.5864661654135338,1.264e-06,0.000976
0.58859649122807012,1.364e-06,0.001053
0.59072681704260654,1.474e-06,0.001137
0.59285714285714286,1.6230000000000002e-06,0.001249
0.59498746867167918,1.7490000000000001e-06,0.0013449999999999998
0.59711779448621549,1.887e-06,0.001451
0.59924812030075181,2.06e-06,0.001601
0.60137844611528823,2.26e-06,0.001762
0.60350877192982455,2.4500000000000003e-06,0.0018989999999999999
0.60563909774436087,2.7200000000000002e-06,0.00216
0.60776942355889729,3e-06,0.00237
0.6098997493734335,3.2500000000000002e-06,0.00256
0.61203007518796992,3.5100000000000003e-06,0.0027600000000000003
0.61416040100250624,3.8e-06,0.0029800000000000004
0.61629072681704256,4.19e-06,0.0032800000000000004
0.61842105263157898,4.53e-06,0.00353
0.6205513784461153,4.9100000000000004e-06,0.0038100000000000005
0.62268170426065161,5.3e-06,0.00412
0.62481203007518793,5.83e-06,0.004520000000000001
0.62694235588972425,6.31e-06,0.004880000000000001
0.62907268170426067,6.82e-06,0.005260000000000001
0.63120300751879699,7.37e-06,0.00568
0.6333333333333333,8.12e-06,0.006240000000000001
0.63546365914786973,8.77e-06,0.006730000000000001
0.63759398496240594,9.47e-06,0.00725
0.63972431077694236,1.024e-05,0.00783
0.64185463659147868,1.1230000000000001e-05,0.008570000000000001
0.64398496240601499,1.2100000000000001e-05,0.00922
0.64611528822055142,1.3000000000000001e-05,0.0099
0.64824561403508763,1.399e-05,0.01063
0.65037593984962405,1.53e-05,0.01161
0.65250626566416037,1.645e-05,0.01246
0.65463659147869668,1.7670000000000002e-05,0.013380000000000001
0.65676691729323311,1.927e-05,0.014560000000000002
0.65889724310776943,2.09e-05,0.01597
0.66102756892230574,2.24e-05,0.01712
0.66315789473684217,2.41e-05,0.018340000000000002
0.66528822055137837,2.62e-05,0.019930000000000003
0.6674185463659148,2.81e-05,0.02048
0.66954887218045112,3.01e-05,0.02048
0.67167919799498743,3.22e-05,0.02048
0.67380952380952386,3.49e-05,0.02048
0.67593984962406006,3.7199999999999996e-05,0.02048
0.67807017543859649,3.9399999999999995e-05,0.02048
0.68020050125313281,4.12e-05,0.02048
0.68233082706766912,4.15e-05,0.02048
0.68446115288220555,4.15e-05,0.02048
0.68659147869674186,4.15e-05,0.02048
0.68872180451127818,4.15e-05,0.02048
0.6908521303258145,4.15e-05,0.02048
0.69298245614035081,4.14e-05,0.02048
0.69511278195488724,4.14e-05,0.02048
0.69724310776942355,4.14e-05,0.02048
0.69937343358395987,4.14e-05,0.02048
0.7015037593984963,4.14e-05,0.02048
0.7036340852130325,4.13e-05,0.02048
0.70576441102756893,4.13e-05,0.02048
0.70789473684210524,4.13e-05,0.02048
0.71002506265664156,4.13e-05,0.02048
0.71215538847117799,4.13e-05,0.02048
0.71428571428571419,4.13e-05,0.02048
0.71641604010025062,4.13e-05,0.02048
0.71854636591478693,4.13e-05,0.02048
0.72067669172932325,4.13e-05,0.02048
0.72280701754385968,4.13e-05,0.02048
0.72493734335839599,4.12e-05,0.02048
0.72706766917293231,4.12e-05,0.02048
0.72919799498746873,4.12e-05,0.02048
