I_y(Ch1),I_z(Ch2)
-1e-08,-1.5380000000000002e-05
-1.0473222288188955e-08,-1.537e-05
-1.0968838509781765e-08,-1.537e-05
-1.1487908395619171e-08,-1.5380000000000002e-05
-1.2031541825367172e-08,-1.5380000000000002e-05
-1.2600901200671308e-08,-1.539e-05
-1.3197203930613742e-08,-1.54e-05
-1.3821725034787873e-08,-1.541e-05
-1.4475799869555961e-08,-1.541e-05
-1.5160826983319592e-08,-1.542e-05
-1.5878271106907928e-08,-1.543e-05
-1.6629666285477483e-08,-1.544e-05
-1.7416619158620717e-08,-1.545e-05
-1.8240812395696488e-08,-1.546e-05
-1.9104008293728182e-08,-1.547e-05
-2.0008052545562066e-08,-1.548e-05
-2.0954878186343637e-08,-1.549e-05
-2.1946509726749825e-08,-1.55e-05
-2.2985067481815196e-08,-1.551e-05
-2.4072772104607408e-08,-1.552e-05
-2.5211949334446712e-08,-1.553e-05
-2.6405034969821799e-08,-1.5550000000000002e-05
-2.7654580076634641e-08,-1.556e-05
-2.8963256442911614e-08,-1.5570000000000002e-05
-3.0333862291643364e-08,-1.559e-05
-3.1769328263969378e-08,-1.561e-05
-3.3272723685499533e-08,-1.562e-05
-3.484726312917256e-08,-1.564e-05
-3.6496313288683521e-08,-1.566e-05
-3.8223400177176693e-08,-1.568e-05
-4.0032216666597261e-08,-1.57e-05
-4.1926630383821489e-08,-1.573e-05
-4.3910691980449947e-08,-1.575e-05
-4.5988643793944837e-08,-1.577e-05
-4.8164928918632469e-08,-1.579e-05
-5.0444200705965833e-08,-1.582e-05
-5.2831332714359833e-08,-1.584e-05
-5.5331429129875968e-08,-1.587e-05
-5.7949835680036342e-08,-1.59e-05
-6.069215106410441e-08,-1.594e-05
-6.3564238924270933e-08,-1.596e-05
-6.6572240383344089e-08,-1.6e-05
-6.9722587175751203e-08,-1.603e-05
-7.3022015399927485e-08,-1.607e-05
-7.6477579921499769e-08,-1.6100000000000002e-05
-8.0096669458060181e-08,-1.614e-05
-8.3887022377785935e-08,-1.618e-05
-8.785674324568332e-08,-1.623e-05
-9.2014320152838309e-08,-1.6270000000000002e-05
-9.6368642865726031e-08,-1.632e-05
-1.0092902183438434e-07,-1.637e-05
-1.0570520810009836e-07,-1.6420000000000002e-05
-1.1070741414516018e-07,-1.647e-05
-1.1594633572928544e-07,-1.653e-05
-1.2143317475937917e-07,-1.659e-05
-1.2717966324154717e-07,-1.665e-05
-1.3319808836657373e-07,-1.671e-05
-1.3950131878249617e-07,-1.677e-05
-1.4610283211045915e-07,-1.684e-05
-1.5301674376267897e-07,-1.691e-05
-1.6025783712413842e-07,-1.699e-05
-1.6784159516254818e-07,-1.707e-05
-1.7578423353415833e-07,-1.715e-05
-1.8410273525621593e-07,-1.723e-05
-1.9281488702019513e-07,-1.732e-05
-2.0193931722345426e-07,-1.74e-05
-2.1149553580063408e-07,-1.749e-05
-2.2150397593996613e-07,-1.759e-05
-2.3198603777369233e-07,-1.77e-05
-2.4296413413600741e-07,-1.78e-05
-2.544617384863764e-07,-1.791e-05
-2.665034351006826e-07,-1.8030000000000002e-05
-2.7911497163753877e-07,-1.815e-05
-2.9232331419214992e-07,-1.828e-05
-3.0615670495544807e-07,-1.842e-05
-3.2064472260178882e-07,-1.855e-05
-3.3581834553432128e-07,-1.87e-05
-3.5171001812327932e-07,-1.884e-05
-3.6835372007880703e-07,-1.899e-05
-3.8578503910666767e-07,-1.915e-05
-4.0404124700217993e-07,-1.932e-05
-4.2316137934508812e-07,-1.949e-05
-4.4318631896577577e-07,-1.967e-05
-4.6415888336127821e-07,-1.985e-05
-4.8612391624802261e-07,-2.13e-05
-5.0912838344704913e-07,-2.14e-05
-5.3322147330672471e-07,-2.16e-05
-5.5845470187769409e-07,-2.1799999999999998e-05
-5.8488202306493716e-07,-2.21e-05
-6.1255994399247468e-07,-2.23e-05
-6.4154764582737633e-07,-2.2499999999999998e-05
-6.7190711032144174e-07,-2.28e-05
-7.0370325234111581e-07,-2.31e-05
-7.3700405866900303e-07,-2.33e-05
-7.7188073337379232e-07,-2.3599999999999998e-05
-8.0840785005940206e-07,-2.3899999999999998e-05
-8.4666351131890437e-07,-2.42e-05
-8.8672951573414711e-07,-2.45e-05
-9.2869153277818482e-07,-2.48e-05
-9.7263928599448498e-07,-2.51e-05
-1.0186667448445629e-06,-2.55e-05
-1.0668723256342968e-06,-2.58e-05
-1.1173591019485101e-06,-2.62e-05
-1.1702350250437907e-06,-2.66e-05
-1.2256131546707989e-06,-2.69e-05
-1.283611900819576e-06,-2.74e-05
-1.3443552769048173e-06,-2.7799999999999998e-05
-1.4079731649323967e-06,-2.8199999999999998e-05
-1.474601593214192e-06,-2.8599999999999997e-05
-1.5443830272249818e-06,-2.91e-05
-1.6174666742233376e-06,-2.95e-05
-1.6940088022878721e-06,-2.9999999999999997e-05
-1.7741730744509583e-06,-3.05e-05
-1.8581308986444497e-06,-3.1e-05
-1.9460617942055622e-06,-3.1599999999999996e-05
-2.0381537757266682e-06,-3.21e-05
-2.1346037550697011e-06,-3.2699999999999995e-05
-2.2356179624047784e-06,-3.32e-05
-2.3414123871733303e-06,-3.38e-05
-2.4522132399185376e-06,-3.4399999999999996e-05
-2.5682574359706878e-06,-3.5e-05
-2.6897931020215225e-06,-3.57e-05
-2.8170801066708714e-06,-3.63e-05
-2.9503906160799091e-06,-3.7e-05
-3.0900096759191579e-06,-3.77e-05
-3.2362358208556053e-06,-3.84e-05
-3.3893817128820335e-06,-3.92e-05
-3.5497748098536168e-06,-3.99e-05
-3.717758065661061e-06,-4.07e-05
-3.893690663537568e-06,-4.15e-05
-4.0779487840674894e-06,-4.23e-05
-4.2709264095388591e-06,-4.32e-05
-4.4730361663597208e-06,-4.4e-05
-4.6847102073393804e-06,-4.49e-05
-4.9064011357213101e-06,-4.5799999999999995e-05
-5.1385829729432024e-06,-4.67e-05
-5.3817521721937008e-06,-4.77e-05
-5.6364286799328385e-06,-4.87e-05
-5.9031570476459933e-06,-4.9699999999999995e-05
-6.1825075962085722e-06,-5.07e-05
-6.4750776353508998e-06,-5.1699999999999996e-05
-6.7814927408310881e-06,-5.2799999999999996e-05
-7.1024080920463751e-06,-5.3899999999999996e-05
-7.4385098729433688e-06,-5.51e-05
-7.7905167392224072e-06,-5.62e-05
-8.1591813549733083e-06,-5.74e-05
-8.5452920020282212e-06,-5.8599999999999995e-05
-8.9496742654724591e-06,-5.99e-05
-9.373192798917727e-06,-6.12e-05
-9.8167531733117353e-06,-6.24e-05
-1.0281303813237812e-05,-6.379999999999999e-05
-1.0767838024844435e-05,-6.52e-05
-1.1277396119740903e-05,-6.659999999999999e-05
-1.1811067639400605e-05,-6.8e-05
-1.2369993684827747e-05,-6.95e-05
-1.2955369356469457e-05,-7.099999999999999e-05
-1.3568446309589612e-05,-7.25e-05
-1.4210535430568909e-05,-7.41e-05
-1.4883009639853311e-05,-7.58e-05
-1.5587306827544276e-05,-7.75e-05
-1.6324932927907624e-05,-7.92e-05
-1.7097465139375156e-05,-8.09e-05
-1.7906555296923757e-05,-8.269999999999999e-05
-1.8753933404042987e-05,-8.45e-05
-1.9641411331843434e-05,-8.64e-05
-2.0570886693214974e-05,-8.8e-05
-2.1544346900318867e-05,-8.999999999999999e-05
-2.2563873414089372e-05,-9.19e-05
-2.3631646194831501e-05,-9.4e-05
-2.4749948363430446e-05,-9.609999999999999e-05
-2.5921171083140549e-05,-9.82e-05
-2.7147818672390661e-05,-0.00010049999999999999
-2.8432513959539416e-05,-0.0001029
-2.977800389102918e-05,-0.0001052
-3.1187165404930358e-05,-0.00010769999999999999
-3.2663011582435215e-05,-0.00011009999999999999
-3.4208698090453372e-05,-0.0001125
-3.5827529929086318e-05,-0.00011509999999999999
-3.7522968498406369e-05,-0.0001176
-3.9298638999652158e-05,-0.0001204
-4.1158338186664871e-05,-0.00012309999999999998
-4.3106042484139616e-05,-0.0001259
-4.5145916490051103e-05,-0.0001288
-4.7282321880431948e-05,-0.0001317
-4.9519826735546421e-05,-0.0001346
-5.1863215307398004e-05,-0.00013759999999999998
-5.4317498249458329e-05,-0.0001408
-5.6887923330489153e-05,-0.0001441
-5.9579986655366221e-05,-0.0001474
-6.2399444416898203e-05,-0.0001506
-6.535232520376647e-05,-0.0001541
-6.8444942890905975e-05,-0.00015759999999999998
-7.1683910139885655e-05,-0.0001612
-7.5076152538158466e-05,-0.0001648
-7.8628923407411509e-05,-0.0001686
-8.2349819312680262e-05,-0.0001724
-8.6246796305389616e-05,-0.0001763
-9.0328186935049749e-05,-0.0001802
-9.4602718065986134e-05,-0.00018429999999999998
-9.9079529537194182e-05,-0.0001885
-0.0001037681937052218,-0.0001927
-0.00010867873591186356,-0.0001971
-0.00011382165592043307,-0.00020899999999999998
-0.0001192079503664454,-0.000213
-0.00012484913627071786,-0.00021799999999999999
-0.00013075727566516196,-0.000223
-0.00013694500138392414,-0.00022799999999999999
-0.00014342554407501817,-0.000233
-0.00015021276049021075,-0.00023799999999999998
-0.00015732116311364611,-0.000244
-0.00016476595119256486,-0.000249
-0.00017256304323646235,-0.00025499999999999996
-0.00018072911105418283,-0.00026
-0.00018928161540172442,-0.000266
-0.000198238843316975,-0.000272
-0.00020761994722121404,-0.000278
-0.0002174449858709829,-0.000285
-0.00022773496724789105,-0.00029099999999999997
-0.0002385118934780594,-0.000298
-0.00024979880787725562,-0.000305
-0.00026161984422231043,-0.00031099999999999997
-0.00027400027835416241,-0.000319
-0.00028696658222287911,-0.000326
-0.00030054648049020595,-0.000334
-0.00031476900981067718,-0.00034199999999999996
-0.00032966458091803521,-0.00034899999999999997
-0.00034526504364972303,-0.000357
-0.00036160375504848115,-0.000365
-0.00037871565068665718,-0.000374
-0.00039663731936574807,-0.00038199999999999996
-0.00041540708135088649,-0.000392
-0.00043506507030756266,-0.00039999999999999996
-0.00045565331911576597,-0.00041
-0.00047721584974505044,-0.000419
-0.00049979876738268938,-0.00042899999999999997
-0.00052345035901617493,-0.00043799999999999997
-0.00054822119668087135,-0.000448
-0.00057416424559357103,-0.000459
-0.00060133497740317849,-0.00046899999999999996
-0.00062979148880065706,-0.00047999999999999996
-0.00065959462574187314,-0.000491
-0.0006908081135489438,-0.000502
-0.00072349869316825645,-0.000513
-0.00075773626387653657,-0.000525
-0.0007935940327400753,-0.0005369999999999999
-0.00083114867114671121,-0.000549
-0.00087048047874523668,-0.000562
-0.00091167355514280043,-0.000575
-0.00095481597972740199,-0.000588
-0.001,-0.000602
