V_gate,I_channel
0.0,1.98e-07
-0.005005005005005005,1.3e-07
-0.01001001001001001,9.000000000000001e-08
-0.015015015015015015,5.4500000000000005e-08
-0.02002002002002002,5.05e-08
-0.025025025025025023,4.4000000000000004e-08
-0.03003003003003003,4.01e-08
-0.035035035035035036,3.55e-08
-0.04004004004004004,3.39e-08
-0.045045045045045043,2.73e-08
-0.050050050050050046,2.32e-08
-0.055055055055055056,2.21e-08
-0.06006006006006006,2.2000000000000002e-08
-0.06506506506506507,1.97e-08
-0.070070070070070073,1.67e-08
-0.075075075075075076,1.6500000000000002e-08
-0.080080080080080079,1.75e-08
-0.085085085085085083,1.51e-08
-0.090090090090090086,1.31e-08
-0.095095095095095089,1.44e-08
-0.10010010010010009,1.21e-08
-0.10510510510510511,1.16e-08
-0.11011011011011011,1.3600000000000001e-08
-0.11511511511511512,1.05e-08
-0.12012012012012012,1.2500000000000001e-08
-0.12512512512512514,1.15e-08
-0.13013013013013014,9.8e-09
-0.13513513513513514,1.18e-08
-0.14014014014014015,1.07e-08
-0.14514514514514515,1.11e-08
-0.15015015015015015,8.9e-09
-0.15515515515515516,8.7e-09
-0.16016016016016016,8.4e-09
-0.16516516516516516,8.3e-09
-0.17017017017017017,8.1e-09
-0.17517517517517517,8.600000000000001e-09
-0.18018018018018017,8.5e-09
-0.18518518518518517,8.9e-09
-0.19019019019019018,7.6e-09
-0.19519519519519518,8.5e-09
-0.20020020020020018,8.1e-09
-0.20520520520520522,7.6e-09
-0.21021021021021022,7.1e-09
-0.21521521521521522,8.5e-09
-0.22022022022022023,8.4e-09
-0.22522522522522523,5.2e-09
-0.23023023023023023,4.7e-09
-0.23523523523523523,8e-09
-0.24024024024024024,6.8000000000000005e-09
-0.24524524524524524,3.5000000000000003e-09
-0.25025025025025027,4.3000000000000005e-09
-0.25525525525525528,6.7000000000000004e-09
-0.26026026026026028,6.7000000000000004e-09
-0.26526526526526528,3.6e-09
-0.27027027027027029,4.4000000000000005e-09
-0.27527527527527529,5.8e-09
-0.28028028028028029,4.4000000000000005e-09
-0.28528528528528529,3.5000000000000003e-09
-0.2902902902902903,4.7e-09
-0.2952952952952953,4e-09
-0.3003003003003003,3.9e-09
-0.30530530530530531,2.5e-09
-0.31031031031031031,5.2e-09
-0.31531531531531531,3.7e-09
-0.32032032032032032,3.7e-09
-0.32532532532532532,5.1e-09
-0.33033033033033032,3.3e-09
-0.33533533533533533,5.5000000000000004e-09
-0.34034034034034033,6.9000000000000006e-09
-0.34534534534534533,5.4e-09
-0.35035035035035034,3.9e-09
-0.35535535535535534,6.3e-09
-0.36036036036036034,7.000000000000001e-09
-0.36536536536536535,1.5000000000000002e-08
-0.37037037037037035,5.7500000000000005e-08
-0.37537537537537535,4.23e-08
-0.38038038038038036,2.33e-08
-0.38538538538538536,1.52e-08
-0.39039039039039036,1.79e-08
-0.39539539539539537,1.62e-08
-0.40040040040040037,1.11e-08
-0.40540540540540543,5.7000000000000006e-09
-0.41041041041041043,6.2e-09
-0.41541541541541543,8.5e-09
-0.42042042042042044,7.4e-09
-0.42542542542542544,1.04e-08
-0.43043043043043044,7.4e-09
-0.43543543543543545,7.7e-09
-0.44044044044044045,4.9e-09
-0.44544544544544545,4.7e-09
-0.45045045045045046,8.2e-09
-0.45545545545545546,3.4000000000000003e-09
-0.46046046046046046,4.7e-09
-0.46546546546546547,5e-09
-0.47047047047047047,6e-09
-0.47547547547547547,5.9e-09
-0.48048048048048048,3.3e-09
-0.48548548548548548,2.9e-09
-0.49049049049049048,4.3000000000000005e-09
-0.49549549549549549,2e-09
-0.50050050050050054,4.6e-09
-0.50550550550550555,4.2e-09
-0.51051051051051055,1.4000000000000001e-09
-0.51551551551551555,3.9e-09
-0.52052052052052056,3.8e-09
-0.52552552552552556,1.2e-09
-0.53053053053053056,1.9e-09
-0.53553553553553557,4.4000000000000005e-09
-0.54054054054054057,4.9e-09
-0.54554554554554557,5.4e-09
-0.55055055055055058,4.5e-09
-0.55555555555555558,1.7000000000000001e-09
-0.56056056056056058,4.7e-09
-0.56556556556556559,4e-09
-0.57057057057057059,4.4000000000000005e-09
-0.57557557557557559,9e-10
-0.5805805805805806,7.9e-09
-0.5855855855855856,6e-09
-0.5905905905905906,4.7e-09
-0.59559559559559561,6.6e-09
-0.60060060060060061,6.5e-09
-0.60560560560560561,5.9e-09
-0.61061061061061062,5.9e-09
-0.61561561561561562,8.600000000000001e-09
-0.62062062062062062,6.6e-09
-0.62562562562562563,1.22e-08
-0.63063063063063063,1.11e-08
-0.63563563563563563,1.17e-08
-0.64064064064064064,1.24e-08
-0.64564564564564564,1.3800000000000001e-08
-0.65065065065065064,1.78e-08
-0.65565565565565564,1.92e-08
-0.66066066066066065,2.04e-08
-0.66566566566566565,2.27e-08
-0.67067067067067065,2.7200000000000002e-08
-0.67567567567567566,3.0700000000000004e-08
-0.68068068068068066,3.26e-08
-0.68568568568568566,4.01e-08
-0.69069069069069067,4.22e-08
-0.69569569569569567,4.7700000000000004e-08
-0.70070070070070067,5.3600000000000004e-08
-0.70570570570570568,6.53e-08
-0.71071071071071068,7.29e-08
-0.71571571571571568,8.430000000000001e-08
-0.72072072072072069,9.35e-08
-0.72572572572572569,1.041e-07
-0.73073073073073069,1.219e-07
-0.7357357357357357,1.386e-07
-0.7407407407407407,1.553e-07
-0.7457457457457457,1.727e-07
-0.75075075075075071,1.9610000000000002e-07
-0.75575575575575571,2.3000000000000002e-07
-0.76076076076076071,2.6400000000000003e-07
-0.76576576576576572,2.87e-07
-0.77077077077077072,3.2e-07
-0.77577577577577572,3.53e-07
-0.78078078078078073,3.92e-07
-0.78578578578578573,4.3900000000000005e-07
-0.79079079079079073,4.82e-07
-0.79579579579579574,5.39e-07
-0.80080080080080074,5.96e-07
-0.80580580580580585,6.54e-07
-0.81081081081081086,7.19e-07
-0.81581581581581586,7.92e-07
-0.82082082082082086,8.63e-07
-0.82582582582582587,9.49e-07
-0.83083083083083087,1.026e-06
-0.83583583583583587,1.125e-06
-0.84084084084084088,1.219e-06
-0.84584584584584588,1.319e-06
-0.85085085085085088,1.426e-06
-0.85585585585585588,1.5360000000000002e-06
-0.86086086086086089,1.652e-06
-0.86586586586586589,1.777e-06
-0.87087087087087089,1.908e-06
-0.8758758758758759,2.1000000000000002e-06
-0.8808808808808809,2.24e-06
-0.8858858858858859,2.39e-06
-0.89089089089089091,2.5400000000000002e-06
-0.89589589589589591,2.7e-06
-0.90090090090090091,2.87e-06
-0.90590590590590592,3.06e-06
-0.91091091091091092,3.2500000000000002e-06
-0.91591591591591592,3.44e-06
-0.92092092092092093,3.64e-06
-0.92592592592592593,3.85e-06
-0.93093093093093093,4.07e-06
-0.93593593593593594,4.2900000000000004e-06
-0.94094094094094094,4.53e-06
-0.94594594594594594,4.76e-06
-0.95095095095095095,5.02e-06
-0.95595595595595595,5.2600000000000005e-06
-0.96096096096096095,5.53e-06
-0.96596596596596596,5.7900000000000005e-06
-0.97097097097097096,6.07e-06
-0.97597597597597596,6.35e-06
-0.98098098098098097,6.64e-06
-0.98598598598598597,6.92e-06
-0.99099099099099097,7.2100000000000004e-06
-0.99599599599599598,7.52e-06
-1.0010010010010011,7.83e-06
-1.0060060060060061,8.15e-06
-1.0110110110110111,8.48e-06
-1.0160160160160161,8.81e-06
-1.0210210210210211,9.15e-06
