V_input,I_1
-0.29999999999999999,-1.8e-09
-0.29698492462311554,4e-10
-0.29396984924623115,-4e-10
-0.29095477386934671,-6e-10
-0.28793969849246231,1.3e-09
-0.28492462311557787,-9e-10
-0.28190954773869348,-6e-10
-0.27889447236180903,4e-10
-0.27587939698492459,1e-10
-0.27286432160804019,1.2e-09
-0.26984924623115575,1e-09
-0.26683417085427136,1.6e-09
-0.26381909547738691,1.6e-09
-0.26080402010050252,-3e-10
-0.25778894472361807,1.3e-09
-0.25477386934673363,3.3e-09
-0.25175879396984924,9e-10
-0.24874371859296482,2.1e-09
-0.2457286432160804,2.9e-09
-0.24271356783919595,3.1e-09
-0.23969849246231156,2.4e-09
-0.23668341708542712,3.2e-09
-0.2336683417085427,5.1e-09
-0.23065326633165828,5.9e-09
-0.22763819095477386,4.3000000000000005e-09
-0.22462311557788944,5.7000000000000006e-09
-0.22160804020100502,4.6e-09
-0.21859296482412061,1.04e-08
-0.21557788944723616,8.2e-09
-0.21256281407035177,9.8e-09
-0.20954773869346732,9.3e-09
-0.2065326633165829,1.02e-08
-0.20351758793969849,1.02e-08
-0.20050251256281407,1.32e-08
-0.19748743718592965,1.33e-08
-0.1944723618090452,1.11e-08
-0.19145728643216081,1.64e-08
-0.18844221105527637,1.9100000000000002e-08
-0.18542713567839195,1.9800000000000002e-08
-0.18241206030150753,2.34e-08
-0.17939698492462311,2.58e-08
-0.17638190954773869,2.69e-08
-0.17336683417085427,2.95e-08
-0.17035175879396985,3.02e-08
-0.16733668341708541,3.39e-08
-0.16432160804020099,3.98e-08
-0.16130653266331657,4.3300000000000004e-08
-0.15829145728643215,4.66e-08
-0.15527638190954773,5.18e-08
-0.15226130653266332,5.77e-08
-0.1492462311557789,6.31e-08
-0.14623115577889448,6.99e-08
-0.14321608040201006,7.52e-08
-0.14020100502512561,8.26e-08
-0.13718592964824119,8.74e-08
-0.13417085427135678,9.76e-08
-0.13115577889447236,1.0670000000000001e-07
-0.12814070351758794,1.1410000000000001e-07
