V_dm,V_out
-0.050000000000000003,0.115
-0.049497487437185933,0.116
-0.048994974874371863,0.117
-0.048492462311557794,0.11800000000000001
-0.047989949748743724,0.11900000000000001
-0.047487437185929654,0.12
-0.046984924623115577,0.121
-0.046482412060301508,0.122
-0.045979899497487438,0.123
-0.045477386934673368,0.124
-0.044974874371859298,0.125
-0.044472361809045229,0.127
-0.043969849246231159,0.128
-0.043467336683417089,0.129
-0.042964824120603019,0.13
-0.04246231155778895,0.131
-0.041959798994974873,0.133
-0.041457286432160803,0.134
-0.040954773869346733,0.135
-0.040452261306532664,0.137
-0.039949748743718594,0.138
-0.039447236180904524,0.14
-0.038944723618090454,0.14200000000000002
-0.038442211055276385,0.14300000000000002
-0.037939698492462315,0.145
-0.037437185929648245,0.147
-0.036934673366834175,0.149
-0.036432160804020106,0.15
-0.035929648241206036,0.152
-0.035427135678391959,0.154
-0.034924623115577889,0.157
-0.03442211055276382,0.159
-0.03391959798994975,0.161
-0.03341708542713568,0.163
-0.03291457286432161,0.166
-0.032412060301507534,0.169
-0.031909547738693464,0.17200000000000001
-0.031407035175879394,0.17500000000000002
-0.030904522613065328,0.179
-0.030402010050251258,0.183
-0.029899497487437185,0.187
-0.029396984924623115,0.191
-0.028894472361809045,0.196
-0.028391959798994976,0.202
-0.027889447236180906,0.20800000000000002
-0.027386934673366836,0.216
-0.026884422110552763,0.225
-0.026381909547738693,0.23600000000000002
-0.025879396984924623,0.25
-0.025376884422110554,0.268
-0.024874371859296484,0.292
-0.024371859296482411,0.322
-0.023869346733668341,0.362
-0.023366834170854271,0.405
-0.022864321608040201,0.456
-0.022361809045226132,0.509
-0.021859296482412062,0.5670000000000001
-0.021356783919597989,0.628
-0.020854271356783919,0.6920000000000001
-0.020351758793969849,0.76
-0.019849246231155779,0.8310000000000001
-0.01934673366834171,0.899
-0.018844221105527637,0.979
-0.018341708542713567,1.055
-0.017839195979899497,1.1340000000000001
-0.017336683417085427,1.213
-0.016834170854271358,1.291
-0.016331658291457288,1.375
-0.015829145728643218,1.462
-0.015326633165829148,1.543
-0.014824120603015072,1.6320000000000001
-0.014321608040201002,1.715
-0.013819095477386932,1.801
-0.013316582914572862,1.891
-0.012814070351758793,1.979
-0.012311557788944723,2.07
-0.011809045226130653,2.16
-0.011306532663316583,2.25
-0.010804020100502514,2.342
-0.010301507537688444,2.432
-0.0097989949748743671,2.52
-0.0092964824120602974,2.606
-0.0087939698492462276,2.694
-0.0082914572864321578,2.778
-0.0077889447236180881,2.87
-0.0072864321608040183,2.952
-0.0067839195979899486,3.036
-0.0062814070351758788,3.114
-0.0057788944723618091,3.198
-0.0052763819095477393,3.2760000000000002
-0.0047738693467336696,3.352
-0.0042713567839195929,3.428
-0.0037688442211055231,3.508
-0.0032663316582914534,3.58
-0.0027638190954773836,3.652
-0.0022613065326633139,3.72
-0.0017587939698492441,3.794
-0.0012562814070351744,3.858
-0.00075376884422110463,3.92
-0.00025125628140703488,3.984
0.00025125628140703488,4.07
0.00075376884422110463,4.125
0.0012562814070351813,4.175
0.0017587939698492511,4.225
0.0022613065326633208,4.2700000000000005
0.0027638190954773906,4.32
0.0032663316582914603,4.36
0.0037688442211055301,4.3950000000000005
0.0042713567839195998,4.4350000000000005
0.0047738693467336696,4.465
0.0052763819095477393,4.495
0.0057788944723618091,4.5200000000000005
0.0062814070351758788,4.54
0.0067839195979899555,4.5600000000000005
0.0072864321608040253,4.575
0.007788944723618095,4.59
0.0082914572864321648,4.605
0.0087939698492462345,4.615
0.0092964824120603043,4.62
0.009798994974874374,4.63
0.010301507537688444,4.64
0.010804020100502514,4.6450000000000005
0.011306532663316583,4.65
0.01180904522613066,4.655
0.01231155778894473,4.66
0.012814070351758799,4.665
0.013316582914572869,4.67
0.013819095477386939,4.675
0.014321608040201009,4.68
0.014824120603015079,4.6850000000000005
0.015326633165829148,4.6850000000000005
0.015829145728643218,4.69
0.016331658291457288,4.695
0.016834170854271358,4.7
0.017336683417085427,4.7
0.017839195979899497,4.705
0.018341708542713567,4.705
0.018844221105527637,4.71
0.019346733668341706,4.71
0.01984924623115579,4.715
0.02035175879396986,4.715
0.020854271356783929,4.72
0.021356783919597999,4.72
0.021859296482412069,4.7250000000000005
0.022361809045226139,4.7250000000000005
0.022864321608040208,4.73
0.023366834170854278,4.73
0.023869346733668348,4.735
0.024371859296482418,4.735
0.024874371859296487,4.735
0.025376884422110557,4.74
0.025879396984924627,4.74
0.026381909547738697,4.745
0.026884422110552766,4.745
0.027386934673366836,4.745
0.027889447236180906,4.745
0.028391959798994976,4.75
0.028894472361809045,4.75
0.029396984924623115,4.755
0.029899497487437185,4.755
0.030402010050251269,4.755
0.030904522613065338,4.76
0.031407035175879408,4.76
0.031909547738693478,4.76
0.032412060301507548,4.765
0.032914572864321617,4.765
0.033417085427135687,4.765
0.033919597989949757,4.765
0.034422110552763827,4.7700000000000005
0.034924623115577896,4.7700000000000005
0.035427135678391966,4.7700000000000005
0.035929648241206036,4.775
0.036432160804020106,4.775
0.036934673366834175,4.775
0.037437185929648245,4.775
0.037939698492462315,4.78
0.038442211055276385,4.78
0.038944723618090454,4.78
0.039447236180904524,4.78
0.039949748743718594,4.785
0.040452261306532664,4.785
0.040954773869346733,4.785
0.041457286432160817,4.785
0.041959798994974887,4.785
0.042462311557788956,4.79
0.042964824120603026,4.79
0.043467336683417096,4.79
0.043969849246231166,4.79
0.044472361809045236,4.795
0.044974874371859305,4.795
0.045477386934673375,4.795
0.045979899497487445,4.795
0.046482412060301515,4.8
0.046984924623115584,4.8
0.047487437185929654,4.8
0.047989949748743724,4.8
0.048492462311557794,4.8
0.048994974874371863,4.8
0.049497487437185933,4.805
0.050000000000000003,4.805
