vx, V(vx), V(vy), V(vz)
Step Information: V1=0  (Run: 1/11)
0.000000000000000e+000, 0.000000e+000, 0.000000e+000, 0.000000e+000
1.000000000000000e-002, 1.000000e-002, 0.000000e+000, 9.985419e-003
2.000000000000000e-002, 2.000000e-002, 0.000000e+000, 1.998634e-002
3.000000000000000e-002, 3.000000e-002, 0.000000e+000, 2.998603e-002
4.000000000000000e-002, 4.000000e-002, 0.000000e+000, 3.998578e-002
5.000000000000000e-002, 5.000000e-002, 0.000000e+000, 4.998556e-002
6.000000000000001e-002, 6.000000e-002, 0.000000e+000, 5.998537e-002
7.000000000000001e-002, 7.000000e-002, 0.000000e+000, 6.998519e-002
8.000000000000000e-002, 8.000000e-002, 0.000000e+000, 7.998502e-002
9.000000000000000e-002, 9.000000e-002, 0.000000e+000, 8.998486e-002
9.999999999999999e-002, 1.000000e-001, 0.000000e+000, 9.998471e-002
1.100000000000000e-001, 1.100000e-001, 0.000000e+000, 1.099846e-001
1.200000000000000e-001, 1.200000e-001, 0.000000e+000, 1.199844e-001
1.300000000000000e-001, 1.300000e-001, 0.000000e+000, 1.299843e-001
1.400000000000000e-001, 1.400000e-001, 0.000000e+000, 1.399841e-001
1.500000000000000e-001, 1.500000e-001, 0.000000e+000, 1.499840e-001
1.600000000000000e-001, 1.600000e-001, 0.000000e+000, 1.599839e-001
1.700000000000000e-001, 1.700000e-001, 0.000000e+000, 1.699837e-001
1.800000000000000e-001, 1.800000e-001, 0.000000e+000, 1.799836e-001
1.900000000000000e-001, 1.900000e-001, 0.000000e+000, 1.899835e-001
2.000000000000000e-001, 2.000000e-001, 0.000000e+000, 1.999833e-001
2.100000000000001e-001, 2.100000e-001, 0.000000e+000, 2.099832e-001
2.200000000000001e-001, 2.200000e-001, 0.000000e+000, 2.199831e-001
2.300000000000001e-001, 2.300000e-001, 0.000000e+000, 2.299830e-001
2.400000000000001e-001, 2.400000e-001, 0.000000e+000, 2.399828e-001
2.500000000000001e-001, 2.500000e-001, 0.000000e+000, 2.499827e-001
2.600000000000001e-001, 2.600000e-001, 0.000000e+000, 2.599826e-001
2.700000000000001e-001, 2.700000e-001, 0.000000e+000, 2.699825e-001
2.800000000000001e-001, 2.800000e-001, 0.000000e+000, 2.799824e-001
2.900000000000001e-001, 2.900000e-001, 0.000000e+000, 2.899823e-001
3.000000000000001e-001, 3.000000e-001, 0.000000e+000, 2.999821e-001
3.100000000000001e-001, 3.100000e-001, 0.000000e+000, 3.099820e-001
3.200000000000001e-001, 3.200000e-001, 0.000000e+000, 3.199819e-001
3.300000000000001e-001, 3.300000e-001, 0.000000e+000, 3.299818e-001
3.400000000000001e-001, 3.400000e-001, 0.000000e+000, 3.399817e-001
3.500000000000001e-001, 3.500000e-001, 0.000000e+000, 3.499815e-001
3.600000000000002e-001, 3.600000e-001, 0.000000e+000, 3.599814e-001
3.700000000000002e-001, 3.700000e-001, 0.000000e+000, 3.699813e-001
3.800000000000002e-001, 3.800000e-001, 0.000000e+000, 3.799812e-001
3.900000000000002e-001, 3.900000e-001, 0.000000e+000, 3.899811e-001
4.000000000000002e-001, 4.000000e-001, 0.000000e+000, 3.999810e-001
4.100000000000002e-001, 4.100000e-001, 0.000000e+000, 4.099809e-001
4.200000000000002e-001, 4.200000e-001, 0.000000e+000, 4.199808e-001
4.300000000000002e-001, 4.300000e-001, 0.000000e+000, 4.299806e-001
4.400000000000002e-001, 4.400000e-001, 0.000000e+000, 4.399805e-001
4.500000000000002e-001, 4.500000e-001, 0.000000e+000, 4.499804e-001
4.600000000000002e-001, 4.600000e-001, 0.000000e+000, 4.599803e-001
4.700000000000003e-001, 4.700000e-001, 0.000000e+000, 4.699802e-001
4.800000000000003e-001, 4.800000e-001, 0.000000e+000, 4.799801e-001
4.900000000000003e-001, 4.900000e-001, 0.000000e+000, 4.899800e-001
5.000000000000002e-001, 5.000000e-001, 0.000000e+000, 4.999799e-001
5.100000000000002e-001, 5.100000e-001, 0.000000e+000, 5.099797e-001
5.200000000000002e-001, 5.200000e-001, 0.000000e+000, 5.199797e-001
5.300000000000003e-001, 5.300000e-001, 0.000000e+000, 5.299795e-001
5.400000000000003e-001, 5.400000e-001, 0.000000e+000, 5.399794e-001
5.500000000000003e-001, 5.500000e-001, 0.000000e+000, 5.499793e-001
5.600000000000003e-001, 5.600000e-001, 0.000000e+000, 5.599792e-001
5.700000000000003e-001, 5.700000e-001, 0.000000e+000, 5.699791e-001
5.800000000000003e-001, 5.800000e-001, 0.000000e+000, 5.799790e-001
5.900000000000003e-001, 5.900000e-001, 0.000000e+000, 5.899789e-001
6.000000000000003e-001, 6.000000e-001, 0.000000e+000, 5.999787e-001
6.100000000000003e-001, 6.100000e-001, 0.000000e+000, 6.099787e-001
