v3, V(vx), V(vy), V(vz)
Step Information: V1=0  (Run: 1/11)
0.000000000000000e+000, 0.000000e+000, 0.000000e+000, 0.000000e+000
1.000000000000000e-001, 1.000000e-001, 0.000000e+000, 9.997094e-002
2.000000000000000e-001, 2.000000e-001, 0.000000e+000, 1.999833e-001
3.000000000000000e-001, 3.000000e-001, 0.000000e+000, 2.999821e-001
4.000000000000000e-001, 4.000000e-001, 0.000000e+000, 3.999810e-001
5.000000000000000e-001, 5.000000e-001, 0.000000e+000, 4.999799e-001
6.000000000000000e-001, 6.000000e-001, 0.000000e+000, 5.999787e-001
7.000000000000000e-001, 7.000000e-001, 0.000000e+000, 6.999777e-001
7.999999999999999e-001, 8.000000e-001, 0.000000e+000, 7.999766e-001
8.999999999999999e-001, 9.000000e-001, 0.000000e+000, 8.999755e-001
9.999999999999999e-001, 1.000000e+000, 0.000000e+000, 9.999745e-001
1.100000000000000e+000, 1.100000e+000, 0.000000e+000, 1.099973e+000
1.200000000000000e+000, 1.200000e+000, 0.000000e+000, 1.199972e+000
1.300000000000000e+000, 1.300000e+000, 0.000000e+000, 1.299971e+000
1.400000000000000e+000, 1.400000e+000, 0.000000e+000, 1.399970e+000
1.500000000000000e+000, 1.500000e+000, 0.000000e+000, 1.499969e+000
1.600000000000000e+000, 1.600000e+000, 0.000000e+000, 1.599968e+000
1.700000000000000e+000, 1.700000e+000, 0.000000e+000, 1.699967e+000
1.800000000000001e+000, 1.800000e+000, 0.000000e+000, 1.799966e+000
1.900000000000001e+000, 1.900000e+000, 0.000000e+000, 1.899965e+000
2.000000000000000e+000, 2.000000e+000, 0.000000e+000, 1.999964e+000
2.100000000000001e+000, 2.100000e+000, 0.000000e+000, 2.099963e+000
2.200000000000001e+000, 2.200000e+000, 0.000000e+000, 2.199962e+000
2.300000000000001e+000, 2.300000e+000, 0.000000e+000, 2.299961e+000
2.400000000000001e+000, 2.400000e+000, 0.000000e+000, 2.399960e+000
2.500000000000001e+000, 2.500000e+000, 0.000000e+000, 2.499959e+000
2.600000000000001e+000, 2.600000e+000, 0.000000e+000, 2.599958e+000
2.700000000000001e+000, 2.700000e+000, 0.000000e+000, 2.699957e+000
2.800000000000001e+000, 2.800000e+000, 0.000000e+000, 2.799956e+000
2.900000000000001e+000, 2.900000e+000, 0.000000e+000, 2.899955e+000
3.000000000000001e+000, 3.000000e+000, 0.000000e+000, 2.999954e+000
3.100000000000001e+000, 3.100000e+000, 0.000000e+000, 3.099953e+000
3.200000000000002e+000, 3.200000e+000, 0.000000e+000, 3.199952e+000
3.300000000000002e+000, 3.300000e+000, 0.000000e+000, 3.299951e+000
3.400000000000002e+000, 3.400000e+000, 0.000000e+000, 3.399950e+000
3.500000000000002e+000, 3.500000e+000, 0.000000e+000, 3.499949e+000
3.600000000000002e+000, 3.600000e+000, 0.000000e+000, 3.599948e+000
3.700000000000002e+000, 3.700000e+000, 0.000000e+000, 3.699947e+000
3.800000000000002e+000, 3.800000e+000, 0.000000e+000, 3.799946e+000
3.900000000000002e+000, 3.900000e+000, 0.000000e+000, 3.899945e+000
4.000000000000002e+000, 4.000000e+000, 0.000000e+000, 3.999944e+000
4.100000000000001e+000, 4.100000e+000, 0.000000e+000, 4.099943e+000
4.200000000000001e+000, 4.200000e+000, 0.000000e+000, 4.199942e+000
4.300000000000001e+000, 4.300000e+000, 0.000000e+000, 4.299941e+000
4.400000000000000e+000, 4.400000e+000, 0.000000e+000, 4.399940e+000
4.500000000000000e+000, 4.500000e+000, 0.000000e+000, 4.499938e+000
4.600000000000000e+000, 4.600000e+000, 0.000000e+000, 4.599937e+000
4.699999999999999e+000, 4.700000e+000, 0.000000e+000, 4.699936e+000
4.799999999999999e+000, 4.800000e+000, 0.000000e+000, 4.799935e+000
4.899999999999999e+000, 4.900000e+000, 0.000000e+000, 4.899935e+000
5.000000000000000e+000, 5.000000e+000, 0.000000e+000, 4.999934e+000
Step Information: V1=.500  (Run: 2/11)
0.000000000000000e+000, 0.000000e+000, 5.000000e-001, 4.999799e-001
1.000000000000000e-001, 1.000000e-001, 5.000000e-001, 5.098765e-001
2.000000000000000e-001, 2.000000e-001, 5.000000e-001, 5.384386e-001
3.000000000000000e-001, 3.000000e-001, 5.000000e-001, 5.827823e-001
4.000000000000000e-001, 4.000000e-001, 5.000000e-001, 6.402682e-001
5.000000000000000e-001, 5.000000e-001, 5.000000e-001, 7.070762e-001
6.000000000000000e-001, 6.000000e-001, 5.000000e-001, 7.806022e-001
7.000000000000000e-001, 7.000000e-001, 5.000000e-001, 8.599769e-001
7.999999999999999e-001, 8.000000e-001, 5.000000e-001, 9.432736e-001
8.999999999999999e-001, 9.000000e-001, 5.000000e-001, 1.029483e+000
9.999999999999999e-001, 1.000000e+000, 5.000000e-001, 1.117974e+000
