time	V(v_1)	V(vout)
0.000000000000000e+000	5.000000e-001	5.369975e-001
1.000000000000000e-007	5.000000e-001	5.369975e-001
1.002507381832678e-007	5.333334e-001	5.370221e-001
1.007522145498033e-007	5.500000e-001	5.370399e-001
1.011005252429804e-007	5.500000e-001	5.370479e-001
1.015334915597457e-007	5.500000e-001	5.370636e-001
1.023994241932762e-007	5.500000e-001	5.371069e-001
1.041312894603373e-007	5.500000e-001	5.372185e-001
1.075950199944595e-007	5.500000e-001	5.374788e-001
1.144309574944595e-007	5.500000e-001	5.380230e-001
1.876731449944595e-007	5.500000e-001	5.434156e-001
2.609153324944594e-007	5.500000e-001	5.483234e-001
3.341575199944594e-007	5.500000e-001	5.527464e-001
4.073997074944593e-007	5.500000e-001	5.566848e-001
4.806418949944593e-007	5.500000e-001	5.601383e-001
5.538840824944593e-007	5.500000e-001	5.631071e-001
6.271262699944589e-007	5.500000e-001	5.655912e-001
7.062278324944589e-007	5.500000e-001	5.679921e-001
7.853293949944590e-007	5.500000e-001	5.701619e-001
8.644309574944590e-007	5.500000e-001	5.721008e-001
9.435325199944590e-007	5.500000e-001	5.738086e-001
1.022634082494459e-006	5.500000e-001	5.752854e-001
1.101735644994459e-006	5.500000e-001	5.765311e-001
1.180837207494459e-006	5.500000e-001	5.775459e-001
1.279470019994460e-006	5.500000e-001	5.786509e-001
1.378102832494461e-006	5.500000e-001	5.796321e-001
1.476735644994462e-006	5.500000e-001	5.804895e-001
1.575368457494463e-006	5.500000e-001	5.812232e-001
1.674001269994463e-006	5.500000e-001	5.818330e-001
1.772634082494464e-006	5.500000e-001	5.823190e-001
1.871266894994465e-006	5.500000e-001	5.826812e-001
1.878102832494465e-006	5.500000e-001	5.827072e-001
2.042165332494467e-006	5.500000e-001	5.831874e-001
2.206227832494468e-006	5.500000e-001	5.835960e-001
2.370290332494470e-006	5.500000e-001	5.839329e-001
2.534352832494471e-006	5.500000e-001	5.841983e-001
2.698415332494472e-006	5.500000e-001	5.843920e-001
2.862477832494474e-006	5.500000e-001	5.845141e-001
3.026540332494475e-006	5.500000e-001	5.845645e-001
3.928884082494483e-006	5.500000e-001	5.847893e-001
4.098389543918826e-006	5.500000e-001	5.848041e-001
4.100000000000001e-006	5.416667e-001	5.847898e-001
4.103220912162350e-006	5.113454e-001	5.846996e-001
4.105897110698905e-006	5.000000e-001	5.845640e-001
4.108646227945638e-006	5.000000e-001	5.843699e-001
4.112983868298674e-006	5.000000e-001	5.840275e-001
4.119819805798674e-006	5.000000e-001	5.834818e-001
4.184272930798675e-006	5.000000e-001	5.787369e-001
4.248726055798675e-006	5.000000e-001	5.743854e-001
4.313179180798676e-006	5.000000e-001	5.704272e-001
4.377632305798676e-006	5.000000e-001	5.668623e-001
4.442085430798677e-006	5.000000e-001	5.636908e-001
4.506538555798678e-006	5.000000e-001	5.609126e-001
4.570991680798678e-006	5.000000e-001	5.585278e-001
4.647163555798679e-006	5.000000e-001	5.559980e-001
4.723335430798679e-006	5.000000e-001	5.537019e-001
4.799507305798680e-006	5.000000e-001	5.516395e-001
4.875679180798681e-006	5.000000e-001	5.498108e-001
4.951851055798681e-006	5.000000e-001	5.482158e-001
5.028022930798682e-006	5.000000e-001	5.468545e-001
5.104194805798683e-006	5.000000e-001	5.457270e-001
5.206733868298683e-006	5.000000e-001	5.444075e-001
5.309272930798684e-006	5.000000e-001	5.432359e-001
5.411811993298685e-006	5.000000e-001	5.422123e-001
5.514351055798686e-006	5.000000e-001	5.413366e-001
5.616890118298687e-006	5.000000e-001	5.406089e-001
5.719429180798688e-006	5.000000e-001	5.400291e-001
5.821968243298689e-006	5.000000e-001	5.395973e-001
5.917671368298690e-006	5.000000e-001	5.392098e-001
6.070991680798691e-006	5.000000e-001	5.387517e-001
6.224311993298692e-006	5.000000e-001	5.383583e-001
6.377632305798694e-006	5.000000e-001	5.380294e-001
6.530952618298696e-006	5.000000e-001	5.377651e-001
6.684272930798697e-006	5.000000e-001	5.375655e-001
6.837593243298698e-006	5.000000e-001	5.374304e-001
6.990913555798699e-006	5.000000e-001	5.373600e-001
6.997749493298699e-006	5.000000e-001	5.373558e-001
7.000000000000000e-006	5.000000e-001	5.373545e-001
